"",BBK01.OEAD15V,BBK01.OEAD15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:00,
2002-01,0.216,
2002-04,0.209,
2002-07,0.222,
2002-10,0.208,
2003-01,0.218,
2003-04,0.218,
2003-07,0.220,
2003-10,0.190,
2004-01,0.187,
2004-04,0.160,
2004-07,0.152,
2004-10,0.151,
2005-01,0.155,
2005-04,0.150,
2005-07,0.140,
2005-10,0.138,
2006-01,0.151,
2006-04,0.147,
2006-07,0.155,
2006-10,0.153,
2007-01,0.143,
2007-04,0.139,
2007-07,0.148,
2007-10,0.146,
2008-01,0.147,
2008-04,0.143,
2008-07,0.174,
2008-10,0.174,
2009-01,0.198,
2009-04,0.206,
2009-07,0.200,
2009-10,0.442,
2010-01,0.199,
2010-04,0.194,
2010-07,0.187,
2010-10,0.179,
2011-01,0.199,
2011-04,0.194,
2011-07,0.186,
2011-10,0.178,
2012-01,0.210,
2012-04,0.217,
2012-07,0.213,
2012-10,0.202,
2013-01,0.226,
2013-04,0.209,
2013-07,0.194,
2013-10,0.164,
2014-01,0.194,
2014-04,0.199,
2014-07,0.201,
