"",BBK01.QUF789,BBK01.QUF789_FLAGS
"",Foreign branches: Short-term liabilities to foreign banks / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:28,
2004-12,0.054,
2005-01,0.035,
2005-02,0.035,
2005-03,0.020,
2005-04,0.015,
2005-05,0.000,
2005-06,0.000,
2005-07,0.000,
2005-08,0.052,
2005-09,0.052,
2005-10,0.058,
2005-11,0.032,
2005-12,0.016,
2006-01,0.018,
2006-02,0.035,
2006-03,0.021,
2006-04,0.000,
2006-05,0.010,
2006-06,0.010,
2006-07,0.010,
2006-08,0.031,
2006-09,0.022,
2006-10,0.013,
2006-11,0.040,
2006-12,0.026,
2007-01,0.020,
2007-02,0.023,
2007-03,0.013,
2007-04,0.036,
2007-05,0.026,
2007-06,0.028,
2007-07,0.027,
2007-08,0.045,
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,0.077,
2008-03,0.090,
2008-04,0.083,
2008-05,0.080,
2008-06,.,No value available
2008-07,0.062,
2008-08,0.069,
2008-09,0.081,
2008-10,.,No value available
2008-11,0.040,
2008-12,.,No value available
2009-01,0.122,
2009-02,0.046,
2009-03,.,No value available
2009-04,.,No value available
2009-05,0.069,
2009-06,.,No value available
2009-07,.,No value available
2009-08,.,No value available
2009-09,0.065,
2009-10,0.067,
2009-11,0.065,
2009-12,0.064,
2010-01,0.077,
2010-02,0.055,
2010-03,0.065,
2010-04,0.068,
2010-05,0.085,
2010-06,0.089,
2010-07,0.101,
2010-08,0.064,
2010-09,0.071,
2010-10,0.078,
2010-11,0.016,
2010-12,0.016,
2011-01,.,No value available
2011-02,.,No value available
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,0.076,
2011-07,.,No value available
2011-08,0.055,
2011-09,0.110,
2011-10,0.091,
2011-11,0.057,
2011-12,0.123,
2012-01,0.062,
2012-02,0.196,
2012-03,1.053,
2012-04,1.682,
2012-05,0.057,
2012-06,1.932,
2012-07,0.388,
2012-08,0.292,
2012-09,0.075,
2012-10,0.071,
2012-11,0.075,
2012-12,0.075,
2013-01,0.075,
2013-02,0.087,
2013-03,0.077,
2013-04,0.064,
2013-05,0.092,
2013-06,0.145,
2013-07,0.126,
2013-08,0.116,
2013-09,0.115,
2013-10,0.108,
2013-11,0.129,
2013-12,0.126,
2014-01,0.119,
2014-02,0.143,
2014-03,0.179,
2014-04,0.076,
2014-05,0.066,
2014-06,0.066,
2014-07,0.068,
2014-08,0.229,
2014-09,0.307,
2014-10,0.070,
2014-11,.,No value available
