"",BBSF2.M.1.S.I1314.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:49,
2009-09,324,
2009-10,564,
2009-11,1635,
2009-12,846,
2010-01,204,
2010-02,392,
2010-03,224,
2010-04,219,
2010-05,264,
2010-06,148,
2010-07,487,
2010-08,564,
2010-09,1383,
2010-10,1106,
2010-11,229,
2010-12,313,
2011-01,178,
2011-02,133,
2011-03,122,
2011-04,147,
2011-05,113,
2011-06,255,
2011-07,530,
2011-08,383,
2011-09,45,
2011-10,307,
2011-11,69,
2011-12,251,
2012-01,137,
2012-02,396,
2012-03,330,
2012-04,423,
2012-05,127,
2012-06,233,
2012-07,1281,
2012-08,32,
2012-09,126,
2012-10,294,
2012-11,484,
2012-12,368,
2013-01,547,
2013-02,247,
2013-03,19,
2013-04,220,
2013-05,566,
2013-06,321,
2013-07,105,
2013-08,809,
2013-09,46,
2013-10,95,
2013-11,168,
2013-12,299,
2014-01,85,
2014-02,542,
2014-03,39,
2014-04,404,
2014-05,263,
2014-06,312,
2014-07,160,
2014-08,449,
2014-09,911,
2014-10,643,
2014-11,492,
