"",BBEE1.M.I7.AAA.XZE01B.R.AACPE.M00,BBEE1.M.I7.AAA.XZE01B.R.AACPE.M00_FLAGS
"","Real effective exchange rate of the Euro against the currencies of the EER-20 group, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:15,
1993-01,111.8170,
1993-02,110.7926,
1993-03,109.1321,
1993-04,109.6497,
1993-05,108.8812,
1993-06,106.9158,
1993-07,103.7406,
1993-08,102.9311,
1993-09,105.9316,
1993-10,105.4128,
1993-11,103.1201,
1993-12,102.4667,
1994-01,103.6839,
1994-02,103.5589,
1994-03,104.8931,
1994-04,104.8267,
1994-05,106.2470,
1994-06,106.6788,
1994-07,108.4434,
1994-08,108.4067,
1994-09,108.4031,
1994-10,109.1782,
1994-11,107.9014,
1994-12,106.5835,
1995-01,107.6645,
1995-02,108.6062,
1995-03,110.2080,
1995-04,110.3238,
1995-05,109.6427,
1995-06,110.0308,
1995-07,111.4201,
1995-08,110.4948,
1995-09,110.1100,
1995-10,111.6115,
1995-11,112.0580,
1995-12,111.2875,
1996-01,111.2134,
1996-02,110.9712,
1996-03,110.5540,
1996-04,109.5304,
1996-05,108.5523,
1996-06,108.7241,
1996-07,109.6637,
1996-08,110.3232,
1996-09,109.4481,
1996-10,108.4817,
1996-11,108.3591,
1996-12,107.0085,
1997-01,105.3708,
1997-02,102.8815,
1997-03,101.8979,
1997-04,100.9798,
1997-05,100.6553,
1997-06,98.9443,
1997-07,96.1233,
1997-08,95.3556,
1997-09,97.7000,
1997-10,98.6082,
1997-11,99.9245,
1997-12,100.0669,
1998-01,98.8497,
1998-02,97.9355,
1998-03,96.9077,
1998-04,97.4324,
1998-05,99.9281,
1998-06,99.9041,
1998-07,99.4205,
1998-08,100.8149,
1998-09,103.3864,
1998-10,104.6538,
1998-11,102.7021,
1998-12,102.7734,
1999-01,101.6161,
1999-02,99.8989,
1999-03,98.4752,
1999-04,97.3346,
1999-05,96.7639,
1999-06,94.9089,
1999-07,94.9452,
1999-08,95.7671,
1999-09,94.1416,
1999-10,95.0673,
1999-11,92.9220,
1999-12,91.0449,
2000-01,91.1267,
2000-02,89.7782,
2000-03,88.3645,
2000-04,87.0684,
2000-05,85.5446,
2000-06,88.3405,
2000-07,87.6913,
2000-08,85.4884,
2000-09,83.8255,
2000-10,82.6781,
2000-11,83.2182,
2000-12,86.1447,
2001-01,89.0858,
2001-02,88.2717,
2001-03,88.2134,
2001-04,87.3907,
2001-05,85.7964,
2001-06,84.3715,
2001-07,85.1583,
2001-08,87.6582,
2001-09,88.2804,
2001-10,88.1496,
2001-11,86.8471,
2001-12,87.5298,
2002-01,87.5007,
2002-02,86.6440,
2002-03,86.8708,
2002-04,87.1548,
2002-05,88.8884,
2002-06,90.9347,
2002-07,92.4198,
2002-08,91.9230,
2002-09,92.0583,
2002-10,92.3564,
2002-11,93.0166,
2002-12,94.1076,
2003-01,96.5822,
2003-02,97.9286,
2003-03,98.8226,
2003-04,99.3731,
2003-05,103.1846,
2003-06,103.8821,
2003-07,102.6378,
2003-08,101.5479,
2003-09,101.4512,
2003-10,103.0801,
2003-11,102.9675,
2003-12,105.7079,
2004-01,106.9570,
2004-02,107.0295,
2004-03,105.1015,
2004-04,103.3989,
2004-05,104.0333,
2004-06,103.8273,
2004-07,104.2385,
2004-08,104.1031,
2004-09,104.2874,
2004-10,105.3682,
2004-11,106.5249,
2004-12,107.8646,
2005-01,106.6335,
2005-02,105.7136,
2005-03,106.6389,
2005-04,105.8053,
2005-05,104.9509,
2005-06,102.3637,
2005-07,102.6555,
2005-08,103.0248,
2005-09,102.4555,
2005-10,102.0767,
2005-11,101.3168,
2005-12,101.3054,
2006-01,101.9390,
2006-02,101.2300,
2006-03,102.1339,
2006-04,103.2336,
2006-05,104.2848,
2006-06,104.4754,
2006-07,104.8406,
2006-08,104.6508,
2006-09,104.3548,
2006-10,103.7853,
2006-11,104.2580,
2006-12,104.9948,
2007-01,104.6023,
2007-02,104.9487,
2007-03,105.4519,
2007-04,106.5061,
2007-05,106.3716,
2007-06,105.7882,
2007-07,106.2416,
2007-08,105.5921,
2007-09,106.5599,
2007-10,107.5064,
2007-11,108.8898,
2007-12,108.5499,
2008-01,109.0168,
2008-02,108.1309,
2008-03,111.0087,
2008-04,111.7398,
2008-05,111.3134,
2008-06,110.8494,
2008-07,110.7181,
2008-08,108.2995,
2008-09,106.6416,
2008-10,103.5368,
2008-11,102.7648,
2008-12,107.9073,
2009-01,107.7878,
2009-02,106.9540,
2009-03,108.7746,
2009-04,108.0149,
2009-05,108.5072,
2009-06,109.6953,
2009-07,109.0061,
2009-08,108.9858,
2009-09,109.9186,
2009-10,111.1575,
2009-11,110.8749,
2009-12,109.6896,
2010-01,107.5733,
2010-02,104.7804,
2010-03,104.2855,
