"",BBK01.OELM02L,BBK01.OELM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:34,
2002-01,0.099,
2002-04,0.089,
2002-07,0.084,
2002-10,0.117,
2003-01,0.089,
2003-04,0.111,
2003-07,0.094,
2003-10,0.130,
2004-01,0.139,
2004-04,0.125,
2004-07,0.141,
2004-10,0.156,
2005-01,0.118,
2005-04,0.126,
2005-07,0.122,
2005-10,0.129,
2006-01,0.116,
2006-04,0.117,
2006-07,0.144,
2006-10,0.141,
2007-01,0.125,
2007-04,0.128,
2007-07,0.127,
2007-10,0.137,
2008-01,0.132,
2008-04,0.148,
2008-07,0.138,
2008-10,0.170,
2009-01,0.163,
2009-04,0.223,
2009-07,0.209,
2009-10,0.255,
2010-01,0.275,
2010-04,0.229,
2010-07,0.233,
2010-10,0.209,
2011-01,0.225,
2011-04,0.209,
2011-07,0.209,
2011-10,0.204,
2012-01,0.228,
2012-04,0.259,
2012-07,0.284,
2012-10,0.312,
2013-01,0.321,
2013-04,0.350,
2013-07,0.350,
2013-10,0.358,
2014-01,0.310,
2014-04,0.352,
2014-07,0.378,
