"",BBSF2.M.1.S.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Mixed funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:04,
2004-01,22,
2004-02,24,
2004-03,25,
2004-04,39,
2004-05,42,
2004-06,56,
2004-07,57,
2004-08,63,
2004-09,67,
2004-10,69,
2004-11,94,
2004-12,200,
2005-01,314,
2005-02,1464,
2005-03,2364,
2005-04,2589,
2005-05,3017,
2005-06,3043,
2005-07,3452,
2005-08,4153,
2005-09,5144,
2005-10,6450,
2005-11,8273,
2005-12,10926,
2006-01,13810,
2006-02,14120,
2006-03,14306,
2006-04,14403,
2006-05,15401,
2006-06,16424,
2006-07,16831,
2006-08,17451,
2006-09,17491,
2006-10,17051,
2006-11,17408,
2006-12,16473,
2007-01,17397,
2007-02,17783,
2007-03,17339,
2007-04,15492,
2007-05,15603,
2007-06,15568,
2007-07,15839,
2007-08,16034,
2007-09,15681,
2007-10,16485,
2007-11,16707,
2007-12,12768,
2008-01,13166,
2008-02,12731,
2008-03,12254,
2008-04,12042,
2008-05,12460,
2008-06,12481,
2008-07,14348,
2008-08,14684,
2008-09,15119,
2008-10,14562,
2008-11,15243,
2008-12,15342,
2009-01,14888,
2009-02,14894,
2009-03,15264,
2009-04,18559,
2009-05,22088,
2009-06,22144,
2009-07,22668,
2009-08,22633,
2009-09,25751,
2009-10,25144,
2009-11,25228,
2009-12,25819,
2010-01,25948,
2010-02,26152,
2010-03,26055,
2010-04,27648,
2010-05,29504,
2010-06,29735,
2010-07,29576,
2010-08,30329,
2010-09,30098,
2010-10,29585,
2010-11,29743,
2010-12,27086,
2011-01,26492,
2011-02,26632,
2011-03,26752,
2011-04,27124,
2011-05,27362,
2011-06,27114,
2011-07,27935,
2011-08,28855,
2011-09,28511,
2011-10,28821,
2011-11,28806,
2011-12,28896,
2012-01,28355,
2012-02,28499,
2012-03,28303,
2012-04,28324,
2012-05,28457,
2012-06,28338,
2012-07,28086,
2012-08,28284,
2012-09,27902,
2012-10,27342,
2012-11,26644,
2012-12,26144,
2013-01,25536,
2013-02,26465,
2013-03,26552,
2013-04,26496,
2013-05,26441,
2013-06,26543,
2013-07,26401,
2013-08,26379,
2013-09,26042,
2013-10,26048,
2013-11,25944,
2013-12,25934,
2014-01,26534,
2014-02,26183,
2014-03,26007,
2014-04,25646,
2014-05,25067,
2014-06,25898,
2014-07,26157,
2014-08,22386,
2014-09,22454,
2014-10,24128,
2014-11,24745,
