"",BBSF2.M.1.P.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Other funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:10,
2009-09,478,
2009-10,459,
2009-11,904,
2009-12,937,
2010-01,667,
2010-02,688,
2010-03,727,
2010-04,751,
2010-05,793,
2010-06,722,
2010-07,739,
2010-08,887,
2010-09,728,
2010-10,961,
2010-11,1068,
2010-12,895,
2011-01,837,
2011-02,860,
2011-03,817,
2011-04,889,
2011-05,1015,
2011-06,936,
2011-07,1009,
2011-08,1044,
2011-09,1041,
2011-10,1141,
2011-11,1539,
2011-12,1164,
2012-01,1187,
2012-02,1169,
2012-03,1107,
2012-04,1166,
2012-05,1421,
2012-06,1449,
2012-07,1116,
2012-08,1108,
2012-09,1050,
2012-10,1026,
2012-11,1000,
2012-12,1001,
2013-01,975,
2013-02,963,
2013-03,964,
2013-04,970,
2013-05,954,
2013-06,919,
2013-07,921,
2013-08,899,
2013-09,881,
2013-10,1255,
2013-11,1230,
2013-12,1279,
2014-01,1258,
2014-02,1288,
2014-03,1288,
2014-04,1301,
2014-05,1412,
2014-06,1363,
2014-07,1349,
2014-08,1341,
2014-09,1297,
2014-10,1314,
2014-11,1100,
