"",BBEX3.M.ETB.EUR.CA.AC.A01,BBEX3.M.ETB.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Ethiopia / EUR 1 = ETB ... (middle),
unit,ETB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:17,
1999-01,8.6029000,
1999-02,8.4161000,
1999-03,8.5340000,
1999-04,8.4283500,
1999-05,8.3250500,
1999-06,8.4271500,
1999-07,8.7274000,
1999-08,8.6270500,
1999-09,8.7058000,
1999-10,8.5349000,
1999-11,8.2503000,
1999-12,8.2141000,
2000-01,8.0134500,
2000-02,7.9654500,
2000-03,7.8477500,
2000-04,7.4839000,
2000-05,7.6842000,
2000-06,7.9128000,
2000-07,7.6656500,
2000-08,7.3955500,
2000-09,7.2885500,
2000-10,7.0193500,
2000-11,7.2676000,
2000-12,7.8069000,
2001-01,7.8219000,
2001-02,7.8127000,
2001-03,7.4824500,
2001-04,7.5388500,
2001-05,7.2177500,
2001-06,7.2355500,
2001-07,7.4908000,
2001-08,7.8511500,
2001-09,7.8444500,
2001-10,7.7892500,
2001-11,7.6743000,
2001-12,7.6021500,
2002-01,7.4519000,
2002-02,7.4636500,
2002-03,7.5282500,
2002-04,7.7742500,
2002-05,8.1020000,
2002-06,8.6102500,
2002-07,8.4463000,
2002-08,8.4910500,
2002-09,8.5158000,
2002-10,8.5221000,
2002-11,8.5802000,
2002-12,9.0667000,
2003-01,9.3538000,
2003-02,9.3266000,
2003-03,9.4267500,
2003-04,9.6337000,
2003-05,10.2365000,
2003-06,9.9011000,
2003-07,9.8110000,
2003-08,9.4756000,
2003-09,10.1078000,
2003-10,10.0880500,
2003-11,10.4212500,
2003-12,10.9826500,
2004-01,10.7764500,
2004-02,10.8102000,
2004-03,10.6453000,
2004-04,10.4093000,
2004-05,10.6299000,
2004-06,10.5964000,
2004-07,10.4990000,
2004-08,10.5702500,
2004-09,10.8328000,
2004-10,11.1220500,
2004-11,11.6126500,
2004-12,11.9007000,
2005-01,11.3922500,
2005-02,11.5894500,
2005-03,11.3365000,
2005-04,11.3342500,
2005-05,10.7897500,
2005-06,10.5839000,
2005-07,10.5878000,
2005-08,10.6831000,
2005-09,10.5493000,
2005-10,10.5357000,
2005-11,10.3160000,
2005-12,10.3436000,
2006-01,10.6278000,
2006-02,10.4173500,
2006-03,10.6212500,
2006-04,11.0037000,
2006-05,11.2972500,
2006-06,11.1642500,
2006-07,11.2148500,
2006-08,11.2919000,
2006-09,11.1269000,
2006-10,11.1614000,
2006-11,11.6076500,
2006-12,11.6732000,
2007-01,11.5650500,
2007-02,11.7973500,
2007-03,11.8960000,
2007-04,12.1760000,
2007-05,12.1659500,
2007-06,12.3161500,
2007-07,12.5051500,
2007-08,12.5074000,
2007-09,12.9433500,
2007-10,13.1927500,
2007-11,13.4837000,
2007-12,13.6799000,
2008-01,13.8759500,
2008-02,14.3010500,
2008-03,15.1583000,
2008-04,14.9602000,
2008-05,14.9862500,
2008-06,15.2977500,
2008-07,15.2190000,
2008-08,14.3955000,
2008-09,14.0017000,
2008-10,12.6107500,
2008-11,12.7550500,
2008-12,13.9930500,
2009-01,14.2600500,
2009-02,14.1126000,
2009-03,14.9305500,
2009-04,14.9755000,
2009-05,15.9811500,
2009-06,16.1276000,
2009-07,17.8067000,
2009-08,18.0249000,
2009-09,18.5403500,
2009-10,18.7808500,
2009-11,19.1128000,
2009-12,18.3908500,
2010-01,18.4193700,comment
2010-02,18.2566590,
2010-03,18.2515080,
2010-04,18.0580930,
2010-05,16.5666500,
2010-06,16.6565160,
2010-07,17.9388120,
2010-08,17.4949170,
2010-09,22.5249190,comment
2010-10,22.9065980,
2010-11,21.9351800,
2010-12,22.1355640,
2011-01,23.0394130,
2011-02,23.1914180,
2011-03,23.7846920,
2011-04,24.8601400,
2011-05,24.2917000,
2011-06,24.3666540,
2011-07,24.8208510,
2011-08,24.9785120,
2011-09,23.5196680,
2011-10,24.4695730,
2011-11,23.2305050,
2011-12,22.5091500,
2012-01,22.9166000,
2012-02,23.5266500,
2012-03,23.4445000,
2012-04,23.3333000,
2012-05,22.1686000,
2012-06,22.2665500,
2012-07,22.1026500,
2012-08,22.6801500,
2012-09,23.3066500,
2012-10,23.5901500,
2012-11,23.7650000,
2012-12,24.2819000,
2013-01,24.9826500,
2013-02,24.2845500,
2013-03,23.8644000,
2013-04,24.4493000,
2013-05,24.3306000,
2013-06,24.6227000,
2013-07,25.1014500,
2013-08,25.1335500,
2013-09,25.7123000,
2013-10,26.2808000,
2013-11,26.0355000,
2013-12,26.5101000,
2014-01,26.2853500,
2014-02,26.5260500,
2014-03,26.8168000,
2014-04,27.1446500,
2014-05,26.7815500,
2014-06,26.9939500,
2014-07,26.6949000,
2014-08,26.3267500,
2014-09,25.4928500,
2014-10,25.3598000,
2014-11,25.2465500,
2014-12,24.6707000,
2015-01,23.1053500,
2015-02,23.1556500,
"",General: Euro exchange rates are available from the end of January 2010 onwards. The previously quoted values were calculated on the basis of the buying and selling rates for the US dollar in Ethiopia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:Since December 2011: Commercial Bank of Ethiopia, Addis Ababa.1999 - November 2011: National Bank of Ethiopia, Addis Ababa (until December 2009 for US dollar only).",
"",Comment on 2010-01: Exchange rate as of 9 February 2010.,
"","Comment on 2010-09: On 1 September 2010, the Ethiopian birr was devalued. Calculated using the exchange rates from 31 August and 1 September (EUR 1 = ETB 20.8153 / 21.2316 (buying/selling rate)) the birr was devalued by 16.8%.",
