"",BBK01.OEBB09Q,BBK01.OEBB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:17,
2002-01,5.312,
2002-04,5.245,
2002-07,5.306,
2002-10,5.287,
2003-01,5.030,
2003-04,5.127,
2003-07,5.072,
2003-10,4.962,
2004-01,4.821,
2004-04,4.888,
2004-07,4.756,
2004-10,4.629,
2005-01,4.586,
2005-04,4.399,
2005-07,4.372,
2005-10,4.008,
2006-01,3.928,
2006-04,3.902,
2006-07,3.792,
2006-10,3.897,
2007-01,3.785,
2007-04,3.625,
2007-07,3.549,
2007-10,3.560,
2008-01,3.432,
2008-04,3.452,
2008-07,3.429,
2008-10,3.358,
2009-01,3.325,
2009-04,3.332,
2009-07,3.221,
2009-10,3.346,
2010-01,3.273,
2010-04,3.264,
2010-07,3.253,
2010-10,3.201,
2011-01,3.193,
2011-04,3.215,
2011-07,3.242,
2011-10,3.126,
2012-01,3.116,
2012-04,3.120,
2012-07,3.223,
2012-10,3.119,
2013-01,3.285,
2013-04,3.246,
2013-07,3.359,
2013-10,3.236,
2014-01,3.282,
2014-04,3.358,
2014-07,3.378,
