"",BBK01.OEYB24T,BBK01.OEYB24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:48,
2002-01,1.745,
2002-04,1.756,
2002-07,1.750,
2002-10,1.797,
2003-01,1.842,
2003-04,1.848,
2003-07,1.874,
2003-10,1.592,
2004-01,1.722,
2004-04,1.709,
2004-07,1.737,
2004-10,1.624,
2005-01,1.615,
2005-04,1.610,
2005-07,1.608,
2005-10,1.599,
2006-01,1.592,
2006-04,1.652,
2006-07,1.652,
2006-10,1.520,
2007-01,1.505,
2007-04,1.383,
2007-07,1.376,
2007-10,1.315,
2008-01,1.307,
2008-04,1.286,
2008-07,1.489,
2008-10,1.486,
2009-01,1.401,
2009-04,1.385,
2009-07,1.409,
2009-10,1.381,
2010-01,1.336,
2010-04,1.421,
2010-07,1.409,
2010-10,1.414,
2011-01,1.358,
2011-04,1.467,
2011-07,1.505,
2011-10,1.472,
2012-01,1.595,
2012-04,1.584,
2012-07,1.593,
2012-10,1.606,
2013-01,1.454,
2013-04,1.422,
2013-07,1.393,
2013-10,1.388,
2014-01,1.424,
2014-04,1.528,
2014-07,1.513,
