"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Luxembourg / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:29,
2009-09,2023,
2009-10,2045,
2009-11,2011,
2009-12,1990,
2010-01,1961,
2010-02,1820,
2010-03,1922,
2010-04,1939,
2010-05,1867,
2010-06,1838,
2010-07,1833,
2010-08,1317,
2010-09,1385,
2010-10,1315,
2010-11,1313,
2010-12,1268,
2011-01,1193,
2011-02,1189,
2011-03,1181,
2011-04,1166,
2011-05,1218,
2011-06,834,
2011-07,838,
2011-08,827,
2011-09,806,
2011-10,812,
2011-11,764,
2011-12,778,
2012-01,780,
2012-02,791,
2012-03,795,
2012-04,790,
2012-05,838,
2012-06,833,
2012-07,831,
2012-08,790,
2012-09,770,
2012-10,744,
2012-11,697,
2012-12,715,
2013-01,705,
2013-02,760,
2013-03,698,
2013-04,693,
2013-05,692,
2013-06,681,
2013-07,720,
2013-08,722,
2013-09,719,
2013-10,707,
2013-11,693,
2013-12,687,
2014-01,718,
2014-02,720,
2014-03,709,
2014-04,713,
2014-05,726,
2014-06,715,
2014-07,717,
2014-08,725,
2014-09,640,
2014-10,896,
2014-11,649,
