"",BBK01.OEHL04G,BBK01.OEHL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:47,
2002-01,5.177,
2002-04,5.006,
2002-07,4.980,
2002-10,4.848,
2003-01,4.831,
2003-04,4.732,
2003-07,4.546,
2003-10,4.369,
2004-01,4.152,
2004-04,3.978,
2004-07,3.867,
2004-10,3.741,
2005-01,2.944,
2005-04,2.848,
2005-07,2.814,
2005-10,2.910,
2006-01,3.015,
2006-04,3.059,
2006-07,3.111,
2006-10,3.126,
2007-01,3.254,
2007-04,3.328,
2007-07,3.557,
2007-10,4.153,
2008-01,4.553,
2008-04,4.987,
2008-07,5.467,
2008-10,6.361,
2009-01,4.924,
2009-04,3.622,
2009-07,2.865,
2009-10,2.477,
2010-01,2.308,
2010-04,2.122,
2010-07,2.140,
2010-10,2.098,
2011-01,2.015,
2011-04,2.084,
2011-07,2.162,
2011-10,2.286,
2012-01,2.163,
2012-04,1.883,
2012-07,1.683,
2012-10,1.545,
2013-01,1.413,
2013-04,1.308,
2013-07,1.165,
2013-10,1.191,
2014-01,1.040,
2014-04,1.036,
2014-07,1.022,
