"",BBK01.OEAE30T,BBK01.OEAE30T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:13,
2002-01,0.111,
2002-04,0.112,
2002-07,0.116,
2002-10,0.122,
2003-01,0.126,
2003-04,0.113,
2003-07,0.098,
2003-10,0.099,
2004-01,0.100,
2004-04,0.099,
2004-07,0.099,
2004-10,0.099,
2005-01,0.100,
2005-04,0.104,
2005-07,0.103,
2005-10,0.071,
2006-01,0.060,
2006-04,0.108,
2006-07,0.120,
2006-10,0.128,
2007-01,0.120,
2007-04,0.119,
2007-07,0.145,
2007-10,0.148,
2008-01,0.148,
2008-04,0.144,
2008-07,0.150,
2008-10,0.151,
2009-01,0.144,
2009-04,0.161,
2009-07,0.160,
2009-10,0.163,
2010-01,0.150,
2010-04,0.152,
2010-07,0.152,
2010-10,0.159,
2011-01,0.159,
2011-04,0.172,
2011-07,0.174,
2011-10,0.178,
2012-01,0.141,
2012-04,0.152,
2012-07,0.155,
2012-10,0.169,
2013-01,0.180,
2013-04,0.169,
2013-07,0.181,
2013-10,0.177,
2014-01,0.176,
2014-04,0.192,
2014-07,0.195,
