"",BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:24,
1991-01,34.321,
1991-04,30.960,
1991-07,6.968,
1991-10,13.970,
1992-01,-5.819,
1992-04,35.815,
1992-07,7.938,
1992-10,111.937,
1993-01,42.273,
1993-04,-38.870,
1993-07,22.472,
1993-10,43.267,
1994-01,62.459,
1994-04,21.387,
1994-07,54.783,
1994-10,67.632,
1995-01,80.535,
1995-04,28.531,
1995-07,154.013,
1995-10,189.484,
1996-01,68.791,
1996-04,-18.739,
1996-07,258.913,
1996-10,-129.948,
1997-01,211.987,
1997-04,112.156,
1997-07,79.752,
1997-10,1006.918,
1998-01,-190.022,
1998-04,31.116,
1998-07,270.619,
1998-10,-196.258,
1999-01,-42.457,
1999-04,1187.415,
1999-07,675.660,
1999-10,-310.781,
2000-01,597.164,
2000-04,-593.277,
2000-07,164.263,
2000-10,3462.441,
2001-01,93.538,
2001-04,-893.773,
2001-07,1280.907,
2001-10,-383.063,
2002-01,402.386,
2002-04,506.174,
2002-07,232.022,
2002-10,-810.821,
2003-01,133.390,
2003-04,199.212,
2003-07,-54.428,
2003-10,-233.327,
2004-01,108.947,
2004-04,-28.427,
2004-07,876.776,
2004-10,81.324,
2005-01,-272.545,
2005-04,511.573,
2005-07,-577.360,
2005-10,1052.537,
2006-01,375.107,
2006-04,257.787,
2006-07,869.333,
2006-10,1969.577,
2007-01,960.794,
2007-04,363.293,
2007-07,699.976,
2007-10,69.551,
2008-01,1617.648,
2008-04,876.451,
2008-07,398.597,
2008-10,342.944,
2009-01,-1088.407,
2009-04,683.946,
2009-07,966.099,
2009-10,289.588,
2010-01,-286.473,
2010-04,1130.209,
2010-07,477.022,
2010-10,4287.258,
2011-01,2179.323,
2011-04,421.494,
2011-07,1164.046,
2011-10,226.819,
2012-01,-171.762,
2012-04,377.516,
2012-07,-20.498,
2012-10,422.216,
2013-01,2310.521,
2013-04,958.800,
2013-07,-253.457,
2013-10,-542.651,
2014-01,-853.431,Provisional value
2014-04,151.425,Provisional value
2014-07,1802.792,Provisional value
2014-10,-153.023,Provisional value
