"",BBK01.OEAH27S,BBK01.OEAH27S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:17,
2002-01,2.667,
2002-04,2.641,
2002-07,2.626,
2002-10,2.609,
2003-01,2.501,
2003-04,2.378,
2003-07,2.252,
2003-10,2.272,
2004-01,2.167,
2004-04,2.077,
2004-07,1.921,
2004-10,1.910,
2005-01,1.772,
2005-04,1.668,
2005-07,1.671,
2005-10,1.702,
2006-01,1.784,
2006-04,1.884,
2006-07,1.956,
2006-10,2.139,
2007-01,2.488,
2007-04,2.626,
2007-07,2.825,
2007-10,3.000,
2008-01,3.048,
2008-04,3.123,
2008-07,3.113,
2008-10,3.367,
2009-01,3.265,
2009-04,3.156,
2009-07,2.893,
2009-10,2.575,
2010-01,2.308,
2010-04,2.234,
2010-07,2.111,
2010-10,2.173,
2011-01,2.243,
2011-04,2.242,
2011-07,2.219,
2011-10,2.167,
2012-01,2.130,
2012-04,2.158,
2012-07,2.086,
2012-10,1.976,
2013-01,1.885,
2013-04,1.820,
2013-07,1.743,
2013-10,1.707,
2014-01,1.721,
2014-04,1.633,
2014-07,1.643,
