"",BBFB1.Q.N.DE.TR.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:58,
1991-01,259.529,
1991-04,229.370,
1991-07,136.450,
1991-10,216.797,
1992-01,31.136,
1992-04,116.472,
1992-07,70.576,
1992-10,111.041,
1993-01,250.743,
1993-04,381.399,
1993-07,366.145,
1993-10,461.635,
1994-01,189.727,
1994-04,-36.832,
1994-07,-191.484,
1994-10,-37.860,
1995-01,-83.972,
1995-04,362.175,
1995-07,-79.354,
1995-10,375.959,
1996-01,328.183,
1996-04,624.132,
1996-07,498.028,
1996-10,555.970,
1997-01,299.471,
1997-04,681.891,
1997-07,746.048,
1997-10,850.866,
1998-01,505.360,
1998-04,701.439,
1998-07,433.303,
1998-10,300.382,
1999-01,133.642,
1999-04,141.575,
1999-07,112.130,
1999-10,219.100,
2000-01,265.922,
2000-04,714.572,
2000-07,837.511,
2000-10,983.891,
2001-01,112.237,
2001-04,-242.027,
2001-07,-124.951,
2001-10,-107.766,
2002-01,63.837,
2002-04,281.436,
2002-07,231.779,
2002-10,318.071,
2003-01,172.991,
2003-04,424.654,
2003-07,908.055,
2003-10,648.652,
2004-01,1183.430,
2004-04,1547.746,
2004-07,1220.419,
2004-10,1137.468,
2005-01,1346.832,
2005-04,1721.579,
2005-07,1806.040,
2005-10,1522.196,
2006-01,1527.016,
2006-04,1715.243,
2006-07,1818.061,
2006-10,1677.459,
2007-01,1031.916,
2007-04,1607.430,
2007-07,1639.252,
2007-10,1727.923,
2008-01,2018.238,
2008-04,2274.729,
2008-07,2108.305,
2008-10,1066.570,
2009-01,571.784,
2009-04,1343.936,
2009-07,1751.287,
2009-10,1501.432,
2010-01,1506.406,
2010-04,2224.410,
2010-07,2094.478,
2010-10,2419.159,
2011-01,2709.468,
2011-04,2810.727,
2011-07,2304.654,
2011-10,1963.102,
2012-01,2003.634,
2012-04,2466.332,
2012-07,2730.250,
2012-10,2447.025,
2013-01,2844.583,
2013-04,3432.175,
2013-07,2429.499,
2013-10,2336.928,
2014-01,2007.017,Provisional value
2014-04,1826.311,Provisional value
2014-07,1693.777,Provisional value
