"",BBDE1.M.DE.Y.AEN1.A2P350000.F.C.I10.A,BBDE1.M.DE.Y.AEN1.A2P350000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At constant prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:01,
2010-01,101.2,
2010-02,95.2,
2010-03,99.7,
2010-04,97.9,
2010-05,99.7,
2010-06,100.5,
2010-07,99.9,
2010-08,99.5,
2010-09,100.5,
2010-10,99.1,
2010-11,100.8,
2010-12,100.5,
2011-01,99.4,
2011-02,101.6,
2011-03,99.7,
2011-04,102.2,
2011-05,103.0,
2011-06,102.1,
2011-07,104.9,
2011-08,103.3,
2011-09,105.6,
2011-10,102.7,
2011-11,101.1,
2011-12,100.6,
2012-01,97.9,
2012-02,98.7,
2012-03,99.0,
2012-04,97.2,
2012-05,98.0,
2012-06,96.6,
2012-07,96.7,
2012-08,97.9,
2012-09,95.3,
2012-10,97.5,
2012-11,94.4,
2012-12,94.5,
2013-01,96.7,
2013-02,97.6,
2013-03,97.1,
2013-04,98.6,
2013-05,97.8,
2013-06,99.0,
2013-07,97.5,
2013-08,97.3,
2013-09,97.6,
2013-10,97.7,
2013-11,99.6,
2013-12,97.6,
2014-01,102.3,
2014-02,100.2,
2014-03,100.7,
2014-04,102.3,
2014-05,98.9,
2014-06,101.8,
2014-07,100.0,
2014-08,99.4,
2014-09,97.7,
2014-10,98.6,
2014-11,97.9,
2014-12,103.2,Provisional value
