"",BBK01.OEHB17P,BBK01.OEHB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:39,
2002-01,4.260,
2002-04,4.302,
2002-07,4.373,
2002-10,4.431,
2003-01,4.454,
2003-04,4.473,
2003-07,4.538,
2003-10,4.564,
2004-01,4.572,
2004-04,4.577,
2004-07,4.614,
2004-10,4.610,
2005-01,4.600,
2005-04,4.607,
2005-07,4.651,
2005-10,4.656,
2006-01,4.673,
2006-04,4.717,
2006-07,4.754,
2006-10,4.737,
2007-01,4.704,
2007-04,4.718,
2007-07,4.728,
2007-10,4.700,
2008-01,4.672,
2008-04,4.671,
2008-07,4.673,
2008-10,4.672,
2009-01,4.675,
2009-04,4.698,
2009-07,4.665,
2009-10,4.663,
2010-01,4.624,
2010-04,4.636,
2010-07,4.704,
2010-10,4.710,
2011-01,4.695,
2011-04,4.713,
2011-07,4.747,
2011-10,4.759,
2012-01,4.750,
2012-04,4.777,
2012-07,4.814,
2012-10,4.831,
2013-01,4.823,
2013-04,4.857,
2013-07,4.915,
2013-10,4.909,
2014-01,4.901,
2014-04,4.942,
2014-07,4.989,
