"",BBK01.OEAH52V,BBK01.OEAH52V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:04,
2002-01,0.091,
2002-04,0.092,
2002-07,0.090,
2002-10,0.094,
2003-01,0.094,
2003-04,0.086,
2003-07,0.082,
2003-10,0.081,
2004-01,0.085,
2004-04,0.085,
2004-07,0.085,
2004-10,0.082,
2005-01,0.081,
2005-04,0.078,
2005-07,0.075,
2005-10,0.073,
2006-01,0.071,
2006-04,0.070,
2006-07,0.068,
2006-10,0.066,
2007-01,0.062,
2007-04,0.059,
2007-07,0.062,
2007-10,0.062,
2008-01,0.064,
2008-04,0.063,
2008-07,0.064,
2008-10,0.064,
2009-01,0.061,
2009-04,0.060,
2009-07,0.065,
2009-10,0.071,
2010-01,0.076,
2010-04,0.079,
2010-07,0.078,
2010-10,0.079,
2011-01,0.080,
2011-04,0.090,
2011-07,0.090,
2011-10,0.088,
2012-01,0.087,
2012-04,0.087,
2012-07,0.083,
2012-10,0.073,
2013-01,0.067,
2013-04,0.063,
2013-07,0.060,
2013-10,0.056,
2014-01,0.055,
2014-04,0.044,
2014-07,0.042,
