"",BBK01.OEAD20H,BBK01.OEAD20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:49,
2002-01,1.229,
2002-04,1.182,
2002-07,1.097,
2002-10,1.185,
2003-01,1.152,
2003-04,1.000,
2003-07,0.979,
2003-10,1.127,
2004-01,1.066,
2004-04,1.069,
2004-07,1.113,
2004-10,0.940,
2005-01,0.853,
2005-04,0.882,
2005-07,0.840,
2005-10,0.766,
2006-01,0.780,
2006-04,0.736,
2006-07,0.691,
2006-10,0.735,
2007-01,0.768,
2007-04,0.697,
2007-07,0.705,
2007-10,0.828,
2008-01,0.755,
2008-04,0.785,
2008-07,0.697,
2008-10,0.701,
2009-01,0.707,
2009-04,0.669,
2009-07,0.562,
2009-10,0.537,
2010-01,0.551,
2010-04,0.566,
2010-07,0.602,
2010-10,0.546,
2011-01,0.616,
2011-04,0.737,
2011-07,0.664,
2011-10,0.664,
2012-01,0.666,
2012-04,0.657,
2012-07,0.640,
2012-10,0.620,
2013-01,0.643,
2013-04,0.628,
2013-07,0.639,
2013-10,0.548,
2014-01,0.544,
2014-04,0.525,
2014-07,0.513,
