"",BBSF2.M.1.P.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Funds total / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:47,
2009-09,19380,
2009-10,19644,
2009-11,18960,
2009-12,18335,
2010-01,19027,
2010-02,18884,
2010-03,17957,
2010-04,11038,
2010-05,15289,
2010-06,17987,
2010-07,18743,
2010-08,18456,
2010-09,18092,
2010-10,16412,
2010-11,16734,
2010-12,16246,
2011-01,18946,
2011-02,20968,
2011-03,21648,
2011-04,22032,
2011-05,21808,
2011-06,22431,
2011-07,21283,
2011-08,21878,
2011-09,23830,
2011-10,24851,
2011-11,25087,
2011-12,24328,
2012-01,24314,
2012-02,23561,
2012-03,24004,
2012-04,24771,
2012-05,26514,
2012-06,25028,
2012-07,23143,
2012-08,22442,
2012-09,21229,
2012-10,20948,
2012-11,21545,
2012-12,19844,
2013-01,20042,
2013-02,19475,
2013-03,19948,
2013-04,19961,
2013-05,20119,
2013-06,20397,
2013-07,21775,
2013-08,21132,
2013-09,21351,
2013-10,23048,
2013-11,18600,
2013-12,19200,
2014-01,18238,
2014-02,19320,
2014-03,18838,
2014-04,18507,
2014-05,19306,
2014-06,18174,
2014-07,17676,
2014-08,18926,
2014-09,17823,
2014-10,16540,
2014-11,16569,
