"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:18,
1991-01,273.651,
1991-04,364.476,
1991-07,338.030,
1991-10,178.611,
1992-01,-156.419,
1992-04,-179.746,
1992-07,-130.175,
1992-10,-367.408,
1993-01,-349.718,
1993-04,-458.027,
1993-07,-396.724,
1993-10,-895.591,
1994-01,-354.092,
1994-04,-525.819,
1994-07,-458.473,
1994-10,-602.109,
1995-01,-483.750,
1995-04,-672.626,
1995-07,-509.473,
1995-10,-890.995,
1996-01,-799.527,
1996-04,-893.760,
1996-07,-576.076,
1996-10,-1364.967,
1997-01,-95.176,
1997-04,-338.672,
1997-07,-77.553,
1997-10,-406.597,
1998-01,-48.545,
1998-04,-272.934,
1998-07,-42.051,
1998-10,-123.337,
1999-01,-632.153,
1999-04,-586.051,
1999-07,-620.175,
1999-10,-869.846,
2000-01,-2181.127,
2000-04,-1891.628,
2000-07,-1823.765,
2000-10,-2004.545,
2001-01,-4308.729,
2001-04,-5999.021,
2001-07,-3912.326,
2001-10,-4000.969,
2002-01,-961.979,
2002-04,-2458.657,
2002-07,-478.676,
2002-10,-3534.855,
2003-01,576.462,
2003-04,-3590.516,
2003-07,-549.335,
2003-10,-530.657,
2004-01,-1205.839,
2004-04,411.579,
2004-07,1646.817,
2004-10,846.987,
2005-01,2909.608,
2005-04,-283.526,
2005-07,1202.860,
2005-10,913.846,
2006-01,313.198,
2006-04,-1847.617,
2006-07,1161.532,
2006-10,-1729.388,
2007-01,4704.794,
2007-04,-2655.094,
2007-07,1790.201,
2007-10,-486.984,
2008-01,-5339.116,
2008-04,-3978.753,
2008-07,-3053.157,
2008-10,-4192.898,
2009-01,-1969.881,
2009-04,-3539.753,
2009-07,-2044.275,
2009-10,-4446.817,
2010-01,2624.447,
2010-04,-2436.394,
2010-07,3067.691,
2010-10,-697.641,
2011-01,2275.545,
2011-04,-2409.470,
2011-07,-1432.616,
2011-10,-828.251,
2012-01,1675.371,
2012-04,-877.642,
2012-07,1154.379,
2012-10,711.201,
2013-01,3062.540,
2013-04,-2168.197,
2013-07,-64.320,
2013-10,-715.065,
2014-01,2667.291,Provisional value
2014-04,-254.375,Provisional value
2014-07,2004.086,Provisional value
2014-10,352.111,Provisional value
