"",BBDE1.M.DE.N.GUA1.N2G470000.A.C.I10.L,BBDE1.M.DE.N.GUA1.N2G470000.A.C.I10.L_FLAGS
"","Turnover / At constant prices / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Unadjusted figure",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 14:29:30,
1950-01,13.1,
1950-02,13.3,
1950-03,15.4,
1950-04,15.6,
1950-05,16.2,
1950-06,15.3,
1950-07,17.3,
1950-08,17.3,
1950-09,18.1,
1950-10,17.8,
1950-11,18.6,
1950-12,27.0,
1951-01,18.4,
1951-02,16.4,
1951-03,18.7,
1951-04,16.8,
1951-05,16.9,
1951-06,17.2,
1951-07,16.4,
1951-08,17.1,
1951-09,16.6,
1951-10,19.3,
1951-11,18.4,
1951-12,27.4,
1952-01,16.5,
1952-02,16.4,
1952-03,17.8,
1952-04,19.5,
1952-05,20.1,
1952-06,16.8,
1952-07,20.2,
1952-08,18.4,
1952-09,18.7,
1952-10,21.0,
1952-11,20.3,
1952-12,30.9,
1953-01,19.3,
1953-02,17.7,
1953-03,21.3,
1953-04,21.7,
1953-05,21.8,
1953-06,20.3,
1953-07,23.0,
1953-08,21.0,
1953-09,21.2,
1953-10,24.3,
1953-11,23.6,
1953-12,35.3,
1954-01,21.3,
1954-02,20.0,
1954-03,23.0,
1954-04,25.6,
1954-05,23.3,
1954-06,22.7,
1954-07,25.5,
1954-08,22.1,
1954-09,22.5,
1954-10,25.4,
1954-11,25.6,
1954-12,38.8,
1955-01,21.8,
1955-02,22.8,
1955-03,25.6,
1955-04,27.4,
1955-05,26.2,
1955-06,24.2,
1955-07,27.4,
1955-08,24.8,
1955-09,25.2,
1955-10,28.8,
1955-11,29.0,
1955-12,43.1,
1956-01,24.7,
1956-02,25.2,
1956-03,31.3,
1956-04,26.2,
1956-05,28.8,
1956-06,28.7,
1956-07,28.4,
1956-08,28.8,
1956-09,26.7,
1956-10,30.6,
1956-11,33.6,
1956-12,46.3,
1957-01,27.5,
1957-02,26.3,
1957-03,30.1,
1957-04,33.5,
1957-05,30.9,
1957-06,29.6,
1957-07,31.9,
1957-08,30.8,
1957-09,28.9,
1957-10,33.0,
1957-11,34.8,
1957-12,47.7,
1958-01,29.9,
1958-02,27.4,
1958-03,32.8,
1958-04,32.3,
1958-05,33.5,
1958-06,29.4,
1958-07,33.5,
1958-08,30.6,
1958-09,30.0,
1958-10,34.9,
1958-11,34.0,
1958-12,50.4,
1959-01,31.8,
1959-02,28.8,
1959-03,34.8,
1959-04,34.3,
1959-05,34.2,
1959-06,33.3,
1959-07,35.4,
1959-08,31.9,
1959-09,32.0,
1959-10,37.5,
1959-11,37.1,
1959-12,54.0,
1960-01,33.0,
1960-02,32.0,
1960-03,37.0,
1960-04,40.1,
1960-05,38.5,
1960-06,36.2,
1960-07,38.6,
1960-08,36.2,
1960-09,37.2,
1960-10,42.2,
1960-11,43.7,
1960-12,61.1,
1961-01,34.3,
1961-02,33.7,
1961-03,42.2,
1961-04,38.5,
1961-05,40.5,
1961-06,38.3,
1961-07,39.3,
1961-08,38.6,
1961-09,38.5,
1961-10,43.5,
1961-11,46.5,
1961-12,62.5,
1962-01,38.5,
1962-02,37.3,
1962-03,44.3,
1962-04,46.7,
1962-05,44.4,
1962-06,44.4,
1962-07,43.8,
1962-08,42.6,
1962-09,41.9,
1962-10,49.5,
1962-11,52.4,
1962-12,66.1,
1963-01,40.5,
1963-02,37.2,
1963-03,45.4,
1963-04,47.6,
1963-05,47.3,
1963-06,41.2,
1963-07,46.9,
1963-08,44.1,
1963-09,42.5,
1963-10,51.4,
1963-11,53.9,
1963-12,68.4,
1964-01,42.9,
1964-02,41.5,
1964-03,48.5,
1964-04,49.8,
1964-05,48.0,
1964-06,46.6,
1964-07,50.5,
1964-08,44.6,
