"",BBK01.OELI02G,BBK01.OELI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:32,
2002-01,21.231,
2002-04,21.724,
2002-07,21.528,
2002-10,22.444,
2003-01,22.462,
2003-04,23.284,
2003-07,23.450,
2003-10,24.275,
2004-01,24.449,
2004-04,25.529,
2004-07,25.596,
2004-10,25.048,
2005-01,25.157,
2005-04,26.144,
2005-07,26.558,
2005-10,26.792,
2006-01,26.846,
2006-04,27.763,
2006-07,27.841,
2006-10,28.160,
2007-01,28.694,
2007-04,29.468,
2007-07,29.652,
2007-10,30.660,
2008-01,30.684,
2008-04,31.270,
2008-07,31.094,
2008-10,32.644,
2009-01,35.653,
2009-04,39.177,
2009-07,41.062,
2009-10,42.357,
2010-01,43.341,
2010-04,45.134,
2010-07,45.739,
2010-10,46.460,
2011-01,45.604,
2011-04,46.383,
2011-07,46.920,
2011-10,48.378,
2012-01,49.053,
2012-04,50.903,
2012-07,52.490,
2012-10,54.328,
2013-01,54.963,
2013-04,57.161,
2013-07,58.263,
2013-10,59.722,
2014-01,59.886,
2014-04,62.491,
2014-07,62.460,
