"",BBK01.OEAC03P,BBK01.OEAC03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:45,
2002-01,0.144,
2002-04,0.137,
2002-07,0.124,
2002-10,0.149,
2003-01,0.151,
2003-04,0.164,
2003-07,0.159,
2003-10,0.224,
2004-01,0.162,
2004-04,0.172,
2004-07,0.185,
2004-10,0.179,
2005-01,0.184,
2005-04,0.179,
2005-07,0.181,
2005-10,0.172,
2006-01,0.182,
2006-04,0.195,
2006-07,0.195,
2006-10,0.208,
2007-01,0.244,
2007-04,0.251,
2007-07,0.260,
2007-10,0.293,
2008-01,0.305,
2008-04,0.328,
2008-07,0.360,
2008-10,0.385,
2009-01,0.439,
2009-04,0.484,
2009-07,0.508,
2009-10,0.530,
2010-01,0.592,
2010-04,0.637,
2010-07,0.658,
2010-10,0.653,
2011-01,0.691,
2011-04,0.738,
2011-07,0.942,
2011-10,0.800,
2012-01,0.830,
2012-04,0.894,
2012-07,0.923,
2012-10,0.935,
2013-01,0.986,
2013-04,1.006,
2013-07,1.019,
2013-10,1.070,
2014-01,1.075,
2014-04,1.050,
2014-07,1.040,
