"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Italy,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:08,
2009-09,30844,
2009-10,32093,
2009-11,32675,
2009-12,33376,
2010-01,33658,
2010-02,33653,
2010-03,33665,
2010-04,32298,
2010-05,31857,
2010-06,31606,
2010-07,32957,
2010-08,33695,
2010-09,34391,
2010-10,35466,
2010-11,33604,
2010-12,32569,
2011-01,32793,
2011-02,33715,
2011-03,34440,
2011-04,35258,
2011-05,34985,
2011-06,33716,
2011-07,30970,
2011-08,30055,
2011-09,27986,
2011-10,26865,
2011-11,25275,
2011-12,26678,
2012-01,27413,
2012-02,29421,
2012-03,30001,
2012-04,29692,
2012-05,29297,
2012-06,28984,
2012-07,28595,
2012-08,29142,
2012-09,30136,
2012-10,31800,
2012-11,35428,
2012-12,37121,
2013-01,39354,
2013-02,39317,
2013-03,40340,
2013-04,42446,
2013-05,42051,
2013-06,41327,
2013-07,41730,
2013-08,41750,
2013-09,42156,
2013-10,41634,
2013-11,41189,
2013-12,41116,
2014-01,42940,
2014-02,43499,
2014-03,44162,
2014-04,44914,
2014-05,45229,
2014-06,44778,
2014-07,45399,
2014-08,46170,
2014-09,46335,
2014-10,46059,
2014-11,47061,
