"",BBK01.OEBI05S,BBK01.OEBI05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:43,
2002-01,0.015,
2002-04,0.016,
2002-07,0.013,
2002-10,0.009,
2003-01,0.012,
2003-04,0.012,
2003-07,0.014,
2003-10,0.012,
2004-01,0.010,
2004-04,0.010,
2004-07,0.012,
2004-10,0.011,
2005-01,0.092,
2005-04,0.090,
2005-07,0.087,
2005-10,0.086,
2006-01,0.082,
2006-04,0.086,
2006-07,0.086,
2006-10,0.085,
2007-01,0.081,
2007-04,0.088,
2007-07,0.087,
2007-10,0.086,
2008-01,0.085,
2008-04,0.078,
2008-07,0.075,
2008-10,0.081,
2009-01,0.089,
2009-04,0.099,
2009-07,0.111,
2009-10,0.124,
2010-01,0.125,
2010-04,0.120,
2010-07,0.120,
2010-10,0.120,
2011-01,0.124,
2011-04,0.113,
2011-07,0.108,
2011-10,0.105,
2012-01,0.138,
2012-04,0.135,
2012-07,0.147,
2012-10,0.147,
2013-01,0.142,
2013-04,0.158,
2013-07,0.160,
2013-10,0.148,
2014-01,0.170,
2014-04,0.210,
2014-07,0.211,
