"",BBK01.QUY392,BBK01.QUY392_FLAGS
"",Consolidated German banks: Foreign securities issued by foreign general government / Slovenia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:31:23,
2002-03,0.674,
2002-04,0.686,
2002-05,0.526,
2002-06,0.527,
2002-07,0.518,
2002-08,0.526,
2002-09,0.527,
2002-10,0.531,
2002-11,0.494,
2002-12,0.485,
2003-01,0.448,
2003-02,0.414,
2003-03,0.386,
2003-04,0.330,
2003-05,0.365,
2003-06,0.383,
2003-07,0.411,
2003-08,0.406,
2003-09,0.433,
2003-10,0.420,
2003-11,0.418,
2003-12,0.413,
2004-01,0.427,
2004-02,0.440,
2004-03,0.449,
2004-04,0.463,
2004-05,0.478,
2004-06,0.433,
2004-07,0.451,
2004-08,0.443,
2004-09,0.437,
2004-10,0.452,
2004-11,0.495,
2004-12,0.565,
2005-01,0.582,
2005-02,0.575,
2005-03,0.526,
2005-04,0.568,
2005-05,0.499,
2005-06,0.543,
2005-07,0.528,
2005-08,0.525,
2005-09,0.596,
2005-10,0.578,
2005-11,0.567,
2005-12,0.392,
2006-01,0.384,
2006-02,0.370,
2006-03,0.355,
2006-04,0.369,
2006-05,0.469,
2006-06,0.481,
2006-07,0.450,
2006-08,0.359,
2006-09,0.381,
2006-10,0.397,
2006-11,0.405,
2006-12,0.405,
2007-01,0.395,
2007-02,0.398,
2007-03,0.482,
2007-04,0.485,
2007-05,0.487,
2007-06,0.503,
2007-07,0.493,
2007-08,0.474,
2007-09,0.468,
2007-10,0.500,
2007-11,0.531,
2007-12,0.620,
2008-01,0.567,
2008-02,0.578,
2008-03,0.575,
2008-04,0.557,
2008-05,0.549,
2008-06,0.550,
2008-07,0.550,
2008-08,0.513,
2008-09,0.525,
2008-10,0.488,
2008-11,0.495,
2008-12,0.493,
2009-01,0.506,
2009-02,0.532,
2009-03,0.659,
2009-04,0.599,
2009-05,0.542,
2009-06,0.501,
2009-07,0.532,
2009-08,0.540,
2009-09,0.713,
2009-10,0.661,
2009-11,0.664,
2009-12,0.565,
2010-01,0.741,
2010-02,0.738,
2010-03,0.762,
2010-04,0.750,
2010-05,0.677,
2010-06,0.638,
2010-07,0.672,
2010-08,0.698,
2010-09,0.738,
2010-10,0.718,
2010-11,0.734,
2010-12,0.778,
2011-01,0.904,
2011-02,0.937,
2011-03,1.039,
2011-04,1.020,
2011-05,0.996,
2011-06,0.953,
2011-07,0.964,
2011-08,0.971,
2011-09,0.892,
2011-10,0.896,
2011-11,0.834,
2011-12,0.837,
2012-01,0.806,
2012-02,0.776,
2012-03,0.806,
2012-04,0.817,
2012-05,0.819,
2012-06,0.820,
2012-07,0.799,
2012-08,0.771,
2012-09,0.754,
2012-10,0.722,
2012-11,0.730,
2012-12,0.708,
2013-01,0.720,
2013-02,0.736,
2013-03,0.710,
2013-04,0.709,
2013-05,0.717,
2013-06,0.701,
2013-07,0.698,
2013-08,0.696,
2013-09,0.692,
2013-10,0.688,
2013-11,0.639,
2013-12,0.663,
2014-01,0.679,
2014-02,0.674,
2014-03,0.682,
2014-04,0.619,
2014-05,0.631,
2014-06,0.649,
2014-07,0.607,
2014-08,0.622,
2014-09,0.592,
2014-10,0.636,
