"",BBFN1.M.DE.N.1.L.NO.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:55,
1975-12,0.005,
1976-01,0.005,
1976-02,0.005,
1976-03,0.005,
1976-04,0.004,
1976-05,0.004,
1976-06,0.007,
1976-07,0.006,
1976-08,0.004,
1976-09,0.004,
1976-10,0.004,
1976-11,0.004,
1976-12,0.004,
1977-01,0.004,
1977-02,0.004,
1977-03,0.004,
1977-04,0.004,
1977-05,0.004,
1977-06,0.004,
1977-07,0.004,
1977-08,0.004,
1977-09,0.005,
1977-10,0.005,
1977-11,0.005,
1977-12,0.007,
1978-01,0.007,
1978-02,0.008,
1978-03,0.008,
1978-04,0.009,
1978-05,0.008,
1978-06,0.007,
1978-07,0.008,
1978-08,0.008,
1978-09,0.008,
1978-10,0.007,
1978-11,0.006,
1978-12,0.007,
1979-01,0.007,
1979-02,0.006,
1979-03,0.006,
1979-04,0.006,
1979-05,0.007,
1979-06,0.010,
1979-07,0.011,
1979-08,0.010,
1979-09,0.010,
1979-10,0.009,
1979-11,0.010,
1979-12,0.010,
1980-01,0.008,
1980-02,0.011,
1980-03,0.008,
1980-04,0.008,
1980-05,0.008,
1980-06,0.007,
1980-07,0.008,
1980-08,0.009,
1980-09,0.011,
1980-10,0.044,
1980-11,0.060,
1980-12,0.094,
1981-01,0.049,
1981-02,0.044,
1981-03,0.027,
1981-04,0.027,
1981-05,0.046,
1981-06,0.056,
1981-07,0.056,
1981-08,0.055,
1981-09,0.053,
1981-10,0.061,
1981-11,0.021,
1981-12,0.019,
1982-01,0.021,
1982-02,0.023,
1982-03,0.025,
1982-04,0.029,
1982-05,0.029,
1982-06,0.028,
1982-07,0.029,
1982-08,0.024,
1982-09,0.023,
1982-10,0.022,
1982-11,0.023,
1982-12,0.018,
1983-01,0.019,
1983-02,0.019,
1983-03,0.020,
1983-04,0.021,
1983-05,0.023,
1983-06,0.024,
1983-07,0.025,
1983-08,0.022,
1983-09,0.032,
1983-10,0.033,
1983-11,0.031,
1983-12,0.021,
1984-01,0.024,
1984-02,0.022,
1984-03,0.022,
1984-04,0.018,
1984-05,0.019,
1984-06,0.019,
1984-07,0.018,
1984-08,0.019,
1984-09,0.019,
1984-10,0.019,
1984-11,0.020,
1984-12,0.018,
1985-01,0.019,
1985-02,0.020,
1985-03,0.020,
1985-04,0.019,
1985-05,0.021,
1985-06,0.022,
1985-07,0.024,
1985-08,0.026,
1985-09,0.026,
1985-10,0.024,
1985-11,0.022,
1985-12,0.022,
1986-01,0.022,
1986-02,0.021,
1986-03,0.021,
1986-04,0.020,
1986-05,0.018,
1986-06,0.018,
1986-07,0.019,
1986-08,0.017,
1986-09,0.024,
1986-10,0.023,
1986-11,0.025,
1986-12,0.025,
1987-01,0.020,
1987-02,0.017,
1987-03,0.015,
1987-04,0.021,
1987-05,0.019,
1987-06,0.029,
1987-07,0.027,
1987-08,0.036,
1987-09,0.018,
1987-10,0.018,
1987-11,0.021,
1987-12,0.019,
1988-01,0.024,
1988-02,0.026,
1988-03,0.018,
1988-04,0.022,
1988-05,0.023,
1988-06,0.023,
1988-07,0.022,
1988-08,0.021,
1988-09,0.022,
1988-10,0.022,
1988-11,0.027,
1988-12,0.029,
1989-01,0.036,
1989-02,0.036,
1989-03,0.030,
1989-04,0.031,
1989-05,0.033,
1989-06,0.031,
1989-07,0.044,
1989-08,0.038,
1989-09,0.024,
1989-10,0.022,
1989-11,0.022,
1989-12,0.023,
1990-01,0.023,
1990-02,0.023,
1990-03,0.023,
1990-04,0.026,
1990-05,0.027,
1990-06,0.026,
1990-07,0.027,
1990-08,0.028,
1990-09,0.031,
1990-10,0.035,
1990-11,0.036,
1990-12,0.065,
1991-01,0.043,
1991-02,0.032,
1991-03,0.029,
1991-04,0.027,
1991-05,0.041,
1991-06,0.058,
1991-07,0.046,
1991-08,0.049,
1991-09,0.051,
1991-10,0.052,
1991-11,0.048,
1991-12,0.042,
1992-01,0.033,
1992-02,0.059,
1992-03,0.053,
1992-04,0.045,
1992-05,0.045,
1992-06,0.051,
1992-07,0.053,
1992-08,0.062,
1992-09,0.076,
1992-10,0.081,
1992-11,0.069,
1992-12,0.065,
1993-01,0.071,
1993-02,0.078,
1993-03,0.079,
1993-04,0.081,
1993-05,0.074,
1993-06,0.069,
1993-07,0.076,
1993-08,0.121,
1993-09,0.088,
1993-10,0.071,
1993-11,0.062,
1993-12,0.060,
1994-01,0.062,
1994-02,0.064,
1994-03,0.062,
1994-04,0.067,
1994-05,0.050,
1994-06,0.052,
1994-07,0.058,
1994-08,0.049,
1994-09,0.039,
1994-10,0.029,
1994-11,0.040,
1994-12,0.038,
1995-01,0.021,
1995-02,0.047,
1995-03,0.047,
1995-04,0.048,
1995-05,0.046,
1995-06,0.053,
1995-07,0.042,
1995-08,0.042,
1995-09,0.032,
1995-10,0.065,
1995-11,0.080,
1995-12,0.071,
1996-01,0.088,
1996-02,0.085,
1996-03,0.086,
1996-04,0.077,
1996-05,0.078,
1996-06,0.078,
1996-07,0.083,
1996-08,.,No value available
1996-09,.,No value available
1996-10,0.090,
1996-11,0.089,
1996-12,0.083,
1997-01,0.093,
1997-02,0.106,
1997-03,0.059,
1997-04,0.078,
1997-05,0.081,
1997-06,0.075,
1997-07,0.070,
1997-08,0.079,
1997-09,0.092,
1997-10,0.066,
1997-11,0.071,
1997-12,0.076,
1998-01,.,No value available
