"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:00,
2009-09,67875,
2009-10,65663,
2009-11,66429,
2009-12,70112,
2010-01,69506,
2010-02,69955,
2010-03,76344,
2010-04,76484,
2010-05,72994,
2010-06,72427,
2010-07,73501,
2010-08,72726,
2010-09,76814,
2010-10,79522,
2010-11,80960,
2010-12,85725,
2011-01,84967,
2011-02,85985,
2011-03,84578,
2011-04,86208,
2011-05,85499,
2011-06,84234,
2011-07,82848,
2011-08,73776,
2011-09,69993,
2011-10,76177,
2011-11,73973,
2011-12,75529,
2012-01,77851,
2012-02,80143,
2012-03,80126,
2012-04,81112,
2012-05,75557,
2012-06,76772,
2012-07,81490,
2012-08,81237,
2012-09,81807,
2012-10,81741,
2012-11,83274,
2012-12,85451,
2013-01,88142,
2013-02,89868,
2013-03,93372,
2013-04,95016,
2013-05,97753,
2013-06,92428,
2013-07,97973,
2013-08,98262,
2013-09,101845,
2013-10,105314,
2013-11,108162,
2013-12,106698,
2014-01,103617,
2014-02,108069,
2014-03,108335,
2014-04,110774,
2014-05,113320,
2014-06,113718,
2014-07,112636,
2014-08,115112,
2014-09,115042,
2014-10,114466,
2014-11,119219,
