"",BBK01.OECI09G,BBK01.OECI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:12,
2002-01,0.228,
2002-04,0.230,
2002-07,0.224,
2002-10,0.223,
2003-01,0.217,
2003-04,0.211,
2003-07,0.198,
2003-10,0.198,
2004-01,0.197,
2004-04,0.194,
2004-07,0.182,
2004-10,0.185,
2005-01,0.226,
2005-04,0.218,
2005-07,0.202,
2005-10,0.199,
2006-01,0.195,
2006-04,0.210,
2006-07,0.227,
2006-10,0.236,
2007-01,0.294,
2007-04,0.324,
2007-07,0.359,
2007-10,0.411,
2008-01,0.451,
2008-04,0.479,
2008-07,0.525,
2008-10,0.820,
2009-01,0.834,
2009-04,0.828,
2009-07,0.832,
2009-10,0.674,
2010-01,0.544,
2010-04,0.520,
2010-07,0.485,
2010-10,0.539,
2011-01,0.570,
2011-04,0.589,
2011-07,0.595,
2011-10,0.584,
2012-01,0.603,
2012-04,0.618,
2012-07,0.584,
2012-10,0.490,
2013-01,0.405,
2013-04,0.342,
2013-07,0.314,
2013-10,0.306,
2014-01,0.304,
2014-04,0.285,
2014-07,0.358,
