"",BBK01.OEAL04U,BBK01.OEAL04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:19,
2002-01,1.028,
2002-04,0.975,
2002-07,0.957,
2002-10,0.959,
2003-01,0.959,
2003-04,0.918,
2003-07,0.850,
2003-10,0.822,
2004-01,0.814,
2004-04,0.791,
2004-07,0.754,
2004-10,0.799,
2005-01,0.779,
2005-04,0.791,
2005-07,0.774,
2005-10,0.736,
2006-01,0.758,
2006-04,0.749,
2006-07,0.741,
2006-10,0.756,
2007-01,0.835,
2007-04,0.866,
2007-07,0.913,
2007-10,0.997,
2008-01,1.117,
2008-04,1.144,
2008-07,1.172,
2008-10,1.263,
2009-01,1.129,
2009-04,1.032,
2009-07,0.820,
2009-10,0.727,
2010-01,0.572,
2010-04,0.571,
2010-07,0.489,
2010-10,0.439,
2011-01,0.433,
2011-04,0.495,
2011-07,0.519,
2011-10,0.524,
2012-01,0.549,
2012-04,0.528,
2012-07,0.441,
2012-10,0.377,
2013-01,0.362,
2013-04,0.329,
2013-07,0.311,
2013-10,0.289,
2014-01,0.284,
2014-04,0.274,
2014-07,0.248,
