"",BBK01.OEAA12J,BBK01.OEAA12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:33,
2002-01,0.087,
2002-04,0.109,
2002-07,0.115,
2002-10,0.120,
2003-01,0.093,
2003-04,0.108,
2003-07,0.092,
2003-10,0.083,
2004-01,0.081,
2004-04,0.094,
2004-07,0.091,
2004-10,0.067,
2005-01,0.061,
2005-04,0.048,
2005-07,0.039,
2005-10,0.043,
2006-01,0.051,
2006-04,0.051,
2006-07,0.053,
2006-10,0.040,
2007-01,0.039,
2007-04,0.034,
2007-07,0.033,
2007-10,0.040,
2008-01,0.041,
2008-04,0.042,
2008-07,0.035,
2008-10,0.027,
2009-01,0.024,
2009-04,0.022,
2009-07,0.024,
2009-10,0.023,
2010-01,0.024,
2010-04,0.030,
2010-07,0.029,
2010-10,0.026,
2011-01,0.030,
2011-04,0.028,
2011-07,0.030,
2011-10,0.026,
2012-01,0.026,
2012-04,0.025,
2012-07,0.026,
2012-10,0.025,
2013-01,0.028,
2013-04,0.024,
2013-07,0.021,
2013-10,0.021,
2014-01,0.024,
2014-04,0.019,
2014-07,0.013,
