"",BBK01.OEAE16M,BBK01.OEAE16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:24,
2002-01,0.618,
2002-04,0.614,
2002-07,0.596,
2002-10,0.625,
2003-01,0.610,
2003-04,0.600,
2003-07,0.576,
2003-10,0.595,
2004-01,0.550,
2004-04,0.529,
2004-07,0.544,
2004-10,0.564,
2005-01,0.548,
2005-04,0.508,
2005-07,0.508,
2005-10,0.502,
2006-01,0.477,
2006-04,0.472,
2006-07,0.452,
2006-10,0.481,
2007-01,0.435,
2007-04,0.458,
2007-07,0.424,
2007-10,0.458,
2008-01,0.466,
2008-04,0.439,
2008-07,0.444,
2008-10,0.476,
2009-01,0.445,
2009-04,0.445,
2009-07,0.434,
2009-10,0.438,
2010-01,0.446,
2010-04,0.384,
2010-07,0.396,
2010-10,0.398,
2011-01,0.404,
2011-04,0.394,
2011-07,0.391,
2011-10,0.406,
2012-01,0.411,
2012-04,0.413,
2012-07,0.367,
2012-10,0.377,
2013-01,0.391,
2013-04,0.369,
2013-07,0.351,
2013-10,0.332,
2014-01,0.325,
2014-04,0.323,
2014-07,0.311,
