"",BBSF2.M.1.S.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:05,
2009-09,9525,
2009-10,9486,
2009-11,9648,
2009-12,9447,
2010-01,9845,
2010-02,9643,
2010-03,9806,
2010-04,9895,
2010-05,9970,
2010-06,10041,
2010-07,10520,
2010-08,10414,
2010-09,11453,
2010-10,10466,
2010-11,11406,
2010-12,10641,
2011-01,11013,
2011-02,11109,
2011-03,11419,
2011-04,11605,
2011-05,11202,
2011-06,11558,
2011-07,11284,
2011-08,11711,
2011-09,11800,
2011-10,12120,
2011-11,12035,
2011-12,11954,
2012-01,12276,
2012-02,11933,
2012-03,12393,
2012-04,13867,
2012-05,13458,
2012-06,15690,
2012-07,13519,
2012-08,13372,
2012-09,13432,
2012-10,13516,
2012-11,14679,
2012-12,16490,
2013-01,15956,
2013-02,16463,
2013-03,16667,
2013-04,18641,
2013-05,17145,
2013-06,17142,
2013-07,16749,
2013-08,17199,
2013-09,16542,
2013-10,17488,
2013-11,15616,
2013-12,15932,
2014-01,17195,
2014-02,16926,
2014-03,15970,
2014-04,18853,
2014-05,16528,
2014-06,16799,
2014-07,17528,
2014-08,17761,
2014-09,18299,
2014-10,17868,
2014-11,17885,
