"",BBK01.OECK02S,BBK01.OECK02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:48,
2002-01,0.191,
2002-04,0.207,
2002-07,0.202,
2002-10,0.161,
2003-01,0.154,
2003-04,0.156,
2003-07,0.157,
2003-10,0.159,
2004-01,0.157,
2004-04,0.156,
2004-07,0.160,
2004-10,0.160,
2005-01,0.177,
2005-04,0.178,
2005-07,0.185,
2005-10,0.194,
2006-01,0.185,
2006-04,0.183,
2006-07,0.187,
2006-10,0.205,
2007-01,0.203,
2007-04,0.207,
2007-07,0.227,
2007-10,0.212,
2008-01,0.202,
2008-04,0.201,
2008-07,0.247,
2008-10,0.239,
2009-01,0.250,
2009-04,0.253,
2009-07,0.251,
2009-10,0.254,
2010-01,0.247,
2010-04,0.240,
2010-07,0.258,
2010-10,0.261,
2011-01,0.251,
2011-04,0.257,
2011-07,0.259,
2011-10,0.277,
2012-01,0.265,
2012-04,0.271,
2012-07,0.285,
2012-10,0.293,
2013-01,0.279,
2013-04,0.284,
2013-07,0.296,
2013-10,0.312,
2014-01,0.304,
2014-04,0.316,
2014-07,0.333,
