"",BBDA1.M.DE.Y.IM.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:40,
2008-01,6.83,
2008-02,6.84,
2008-03,6.78,
2008-04,6.64,
2008-05,6.60,
2008-06,6.32,
2008-07,6.29,
2008-08,6.48,
2008-09,6.37,
2008-10,5.67,
2008-11,5.52,
2008-12,4.92,
2009-01,4.89,
2009-02,4.90,
2009-03,5.96,
2009-04,5.59,
2009-05,5.34,
2009-06,5.52,
2009-07,5.43,
2009-08,5.33,
2009-09,5.61,
2009-10,5.34,
2009-11,5.16,
2009-12,5.23,
2010-01,5.10,
2010-02,5.02,
2010-03,5.36,
2010-04,5.45,
2010-05,5.74,
2010-06,5.83,
2010-07,5.90,
2010-08,5.88,
2010-09,6.18,
2010-10,6.33,
2010-11,6.46,
2010-12,6.49,
2011-01,6.71,
2011-02,6.69,
2011-03,6.79,
2011-04,6.66,
2011-05,6.62,
2011-06,6.84,
2011-07,6.93,
2011-08,6.66,
2011-09,6.96,
2011-10,6.84,
2011-11,7.02,
2011-12,6.81,
2012-01,7.00,
2012-02,7.29,
2012-03,7.11,
2012-04,6.67,
2012-05,6.91,
2012-06,6.97,
2012-07,6.91,
2012-08,6.98,
2012-09,6.74,
2012-10,6.76,
2012-11,6.65,
2012-12,6.62,
2013-01,6.66,
2013-02,6.73,
2013-03,6.55,
2013-04,6.81,
2013-05,6.69,
2013-06,6.52,
2013-07,6.67,
2013-08,6.84,
2013-09,6.63,
2013-10,7.03,
2013-11,7.10,
2013-12,7.27,
2014-01,7.40,
2014-02,7.69,
2014-03,7.28,
2014-04,7.43,
2014-05,7.52,
2014-06,7.40,
2014-07,7.85,
2014-08,7.09,
2014-09,7.57,
2014-10,7.54,
2014-11,7.79,
2014-12,8.17,
