"",BBK01.OEGO05I,BBK01.OEGO05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:25,
2002-01,0.002,
2002-04,0.005,
2002-07,0.009,
2002-10,0.022,
2003-01,0.112,
2003-04,0.009,
2003-07,0.016,
2003-10,0.137,
2004-01,0.019,
2004-04,0.007,
2004-07,0.011,
2004-10,0.128,
2005-01,0.013,
2005-04,0.007,
2005-07,0.006,
2005-10,0.123,
2006-01,0.010,
2006-04,0.007,
2006-07,0.006,
2006-10,0.107,
2007-01,0.005,
2007-04,0.013,
2007-07,0.009,
2007-10,0.092,
2008-01,0.018,
2008-04,0.023,
2008-07,0.026,
2008-10,0.086,
2009-01,0.027,
2009-04,0.032,
2009-07,0.036,
2009-10,0.101,
2010-01,0.015,
2010-04,0.004,
2010-07,0.003,
2010-10,0.058,
2011-01,0.005,
2011-04,0.003,
2011-07,0.004,
2011-10,0.066,
2012-01,0.019,
2012-04,0.017,
2012-07,0.013,
2012-10,0.063,
2013-01,0.008,
2013-04,0.009,
2013-07,0.009,
2013-10,0.011,
2014-01,0.003,
2014-04,-,Nothing exists
2014-07,-,Nothing exists
