"",BBFN1.M.DE.N.1.A.EE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Estonia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:32,
1995-01,0.017,
1995-02,0.016,
1995-03,0.016,
1995-04,0.018,
1995-05,0.019,
1995-06,0.017,
1995-07,0.019,
1995-08,0.018,
1995-09,0.021,
1995-10,0.021,
1995-11,0.022,
1995-12,0.018,
1996-01,0.019,
1996-02,0.020,
1996-03,0.021,
1996-04,0.025,
1996-05,0.024,
1996-06,0.024,
1996-07,0.025,
1996-08,0.028,
1996-09,0.029,
1996-10,0.033,
1996-11,0.039,
1996-12,0.038,
1997-01,0.038,
1997-02,0.041,
1997-03,0.040,
1997-04,0.044,
1997-05,0.048,
1997-06,0.050,
1997-07,0.052,
1997-08,0.057,
1997-09,0.055,
1997-10,0.062,
1997-11,0.067,
1997-12,0.064,
1998-01,0.070,
1998-02,0.067,
1998-03,0.069,
1998-04,0.063,
1998-05,0.067,
1998-06,0.066,
1998-07,0.071,
1998-08,0.069,
1998-09,0.069,
1998-10,0.064,
1998-11,0.067,
1998-12,0.061,
1999-01,0.058,
1999-02,0.061,
1999-03,0.063,
1999-04,0.063,
1999-05,0.063,
1999-06,0.059,
1999-07,0.062,
1999-08,0.062,
1999-09,0.062,
1999-10,0.066,
1999-11,0.072,
1999-12,0.070,
2000-01,0.067,
2000-02,0.068,
2000-03,0.069,
2000-04,0.070,
2000-05,0.069,
2000-06,0.071,
2000-07,0.075,
2000-08,0.077,
2000-09,0.081,
2000-10,0.086,
2000-11,0.085,
2000-12,0.077,
2001-01,0.076,
2001-02,0.074,
2001-03,0.074,
2001-04,0.081,
2001-05,0.080,
2001-06,0.083,
2001-07,0.085,
2001-08,0.079,
2001-09,0.077,
2001-10,0.085,
2001-11,0.084,
2001-12,0.076,
2002-01,0.077,
2002-02,0.071,
2002-03,0.074,
2002-04,0.081,
2002-05,0.080,
2002-06,0.077,
2002-07,0.071,
2002-08,0.070,
2002-09,0.071,
2002-10,0.074,
2002-11,0.074,
2002-12,0.066,
2003-01,0.068,
2003-02,0.068,
2003-03,0.073,
2003-04,0.073,
2003-05,0.072,
2003-06,0.070,
2003-07,0.074,
2003-08,0.084,
2003-09,0.077,
2003-10,0.077,
2003-11,0.077,
2003-12,0.066,
2004-01,0.067,
2004-02,0.071,
2004-03,0.087,
2004-04,0.095,
2004-05,0.085,
2004-06,0.089,
2004-07,0.089,
2004-08,0.089,
2004-09,0.094,
2004-10,0.098,
2004-11,0.092,
2004-12,0.092,
2005-01,0.086,
2005-02,0.117,
2005-03,0.120,
2005-04,0.112,
2005-05,0.113,
2005-06,0.131,
2005-07,0.145,
2005-08,0.141,
2005-09,0.144,
2005-10,0.144,
2005-11,0.137,
2005-12,0.124,
2006-01,0.128,
2006-02,0.138,
2006-03,0.138,
2006-04,0.138,
2006-05,0.151,
2006-06,0.163,
2006-07,0.166,
2006-08,0.142,
2006-09,0.168,
2006-10,0.156,
2006-11,0.161,
2006-12,0.155,
2007-01,0.134,
2007-02,0.143,
2007-03,0.156,
2007-04,0.151,
2007-05,0.159,
2007-06,0.154,
2007-07,0.161,
2007-08,0.156,
2007-09,0.148,
2007-10,0.156,
2007-11,0.163,
2007-12,0.132,
2008-01,0.132,
2008-02,0.150,
2008-03,0.150,
2008-04,0.165,
2008-05,0.161,
2008-06,0.178,
2008-07,0.172,
2008-08,0.160,
2008-09,0.166,
2008-10,0.160,
2008-11,0.156,
2008-12,0.134,
2009-01,0.134,
2009-02,0.136,
2009-03,0.137,
2009-04,0.140,
2009-05,0.135,
2009-06,0.133,
2009-07,0.136,
2009-08,0.142,
2009-09,0.138,
2009-10,0.147,
2009-11,0.137,
2009-12,0.121,
2010-01,0.128,
2010-02,0.134,
2010-03,0.140,
2010-04,0.144,
2010-05,0.158,
2010-06,0.159,
2010-07,0.155,
2010-08,0.156,
2010-09,0.162,
2010-10,0.161,
2010-11,0.168,
2010-12,0.157,
2011-01,0.150,
2011-02,0.158,
2011-03,0.162,
2011-04,0.167,
2011-05,0.178,
2011-06,0.191,
2011-07,0.180,
2011-08,0.180,
2011-09,0.179,
2011-10,0.177,
2011-11,0.182,
2011-12,0.153,
2012-01,0.154,
2012-02,0.165,
2012-03,0.173,
2012-04,0.222,
2012-05,0.220,
2012-06,0.210,
2012-07,0.214,
2012-08,0.197,
2012-09,0.197,
2012-10,0.192,
2012-11,0.196,
2012-12,0.201,
2013-01,0.203,
2013-02,0.198,
2013-03,0.210,
2013-04,0.213,
2013-05,0.212,
2013-06,0.211,
2013-07,0.204,
2013-08,0.192,
2013-09,0.174,
2013-10,0.191,
2013-11,0.183,
2013-12,0.161,
2014-01,0.151,
2014-02,0.229,
2014-03,0.261,
2014-04,0.257,
2014-05,0.247,
2014-06,0.256,
2014-07,0.242,
2014-08,0.248,
2014-09,0.241,
2014-10,0.253,
2014-11,0.264,
2014-12,0.240,
