"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:33,
1991-01,11.427,
1991-04,11.869,
1991-07,11.407,
1991-10,11.764,
1992-01,-18.397,
1992-04,-14.384,
1992-07,-14.390,
1992-10,-14.641,
1993-01,50.609,
1993-04,49.963,
1993-07,50.846,
1993-10,50.778,
1994-01,-22.013,
1994-04,-26.172,
1994-07,-21.939,
1994-10,-23.503,
1995-01,50.512,
1995-04,59.958,
1995-07,59.958,
1995-10,56.877,
1996-01,-32.836,
1996-04,-32.823,
1996-07,-32.279,
1996-10,-32.279,
1997-01,2.046,
1997-04,2.046,
1997-07,1.040,
1997-10,-1.341,
1998-01,-0.820,
1998-04,-,Nothing exists
1998-07,-0.219,
1998-10,-0.810,
1999-01,5.190,
1999-04,4.991,
1999-07,6.000,
1999-10,-28.255,
2000-01,245.000,
2000-04,240.826,
2000-07,243.000,
2000-10,241.242,
2001-01,-21.379,
2001-04,-57.509,
2001-07,-87.220,
2001-10,-37.670,
2002-01,29.536,
2002-04,-28.672,
2002-07,26.469,
2002-10,35.611,
2003-01,36.084,
2003-04,-80.759,
2003-07,46.037,
2003-10,-21.883,
2004-01,-26.473,
2004-04,-13.307,
2004-07,117.111,
2004-10,78.673,
2005-01,102.442,
2005-04,35.299,
2005-07,191.514,
2005-10,205.267,
2006-01,245.111,
2006-04,-78.242,
2006-07,244.357,
2006-10,334.218,
2007-01,252.858,
2007-04,-36.746,
2007-07,224.218,
2007-10,127.504,
2008-01,247.589,
2008-04,-186.571,
2008-07,181.458,
2008-10,216.117,
2009-01,147.151,
2009-04,-117.110,
2009-07,128.365,
2009-10,157.579,
2010-01,-1437.060,
2010-04,-61.791,
2010-07,58.620,
2010-10,71.055,
2011-01,270.145,
2011-04,-1.240,
2011-07,219.007,
2011-10,282.162,
2012-01,281.472,
2012-04,-82.776,
2012-07,290.372,
2012-10,290.684,
2013-01,305.217,
2013-04,-37.782,
2013-07,310.901,
2013-10,318.895,
2014-01,279.279,Provisional value
2014-04,213.828,Provisional value
2014-07,246.353,Provisional value
2014-10,316.631,Provisional value
