"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:00,
2009-09,75977,
2009-10,73286,
2009-11,74003,
2009-12,77768,
2010-01,77117,
2010-02,77676,
2010-03,84900,
2010-04,85319,
2010-05,81641,
2010-06,81090,
2010-07,82571,
2010-08,81559,
2010-09,85652,
2010-10,89015,
2010-11,90216,
2010-12,95688,
2011-01,95760,
2011-02,97163,
2011-03,95449,
2011-04,97300,
2011-05,96106,
2011-06,94682,
2011-07,92940,
2011-08,82274,
2011-09,78348,
2011-10,85427,
2011-11,82879,
2011-12,84384,
2012-01,87363,
2012-02,90054,
2012-03,90088,
2012-04,91188,
2012-05,84539,
2012-06,86206,
2012-07,91199,
2012-08,91352,
2012-09,92234,
2012-10,92899,
2012-11,94863,
2012-12,97566,
2013-01,101114,
2013-02,103115,
2013-03,107024,
2013-04,109199,
2013-05,111874,
2013-06,106623,
2013-07,112797,
2013-08,112573,
2013-09,116757,
2013-10,121813,
2013-11,124992,
2013-12,123428,
2014-01,119826,
2014-02,124507,
2014-03,124702,
2014-04,127513,
2014-05,130472,
2014-06,130766,
2014-07,129629,
2014-08,132713,
2014-09,132986,
2014-10,134211,
2014-11,139745,
