"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:29,
2009-09,60273,
2009-10,58827,
2009-11,59178,
2009-12,63691,
2010-01,58774,
2010-02,59026,
2010-03,63867,
2010-04,69270,
2010-05,68624,
2010-06,59128,
2010-07,61213,
2010-08,59229,
2010-09,62426,
2010-10,66981,
2010-11,66779,
2010-12,70850,
2011-01,72368,
2011-02,73439,
2011-03,72549,
2011-04,75586,
2011-05,74656,
2011-06,74460,
2011-07,74443,
2011-08,62158,
2011-09,58510,
2011-10,64874,
2011-11,62806,
2011-12,62367,
2012-01,66979,
2012-02,70213,
2012-03,70087,
2012-04,64705,
2012-05,62347,
2012-06,63381,
2012-07,66894,
2012-08,68001,
2012-09,69729,
2012-10,70130,
2012-11,71519,
2012-12,73875,
2013-01,75341,
2013-02,74837,
2013-03,74879,
2013-04,75271,
2013-05,77850,
2013-06,73963,
2013-07,77783,
2013-08,76336,
2013-09,80349,
2013-10,84816,
2013-11,87887,
2013-12,89002,
2014-01,85964,
2014-02,89497,
2014-03,88663,
2014-04,88954,
2014-05,90718,
2014-06,90555,
2014-07,86935,
2014-08,87785,
2014-09,84516,
2014-10,82257,
2014-11,84431,
