"",BBK01.WXIF01,BBK01.WXIF01_FLAGS
"",,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:49,
2009-09,111,
2009-10,111,
2009-11,112,
2009-12,114,
2010-01,114,
2010-02,116,
2010-03,116,
2010-04,116,
2010-05,116,
2010-06,117,
2010-07,118,
2010-08,118,
2010-09,118,
2010-10,118,
2010-11,118,
2010-12,118,
2011-01,122,
2011-02,122,
2011-03,123,
2011-04,123,
2011-05,105,
2011-06,124,
2011-07,105,
2011-08,105,
2011-09,105,
2011-10,105,
2011-11,105,
2011-12,105,
2012-01,105,
2012-02,105,
2012-03,105,
2012-04,105,
2012-05,105,
2012-06,105,
2012-07,105,
2012-08,105,
2012-09,105,
2012-10,105,
2012-11,105,
2012-12,105,
2013-01,104,
2013-02,104,
2013-03,104,
2013-04,104,
2013-05,104,
2013-06,104,
2013-07,105,
2013-08,105,
2013-09,105,
2013-10,105,
2013-11,105,
2013-12,105,
2014-01,105,
2014-02,105,
2014-03,105,
2014-04,106,
2014-05,106,
2014-06,106,
2014-07,106,
2014-08,104,
2014-09,104,
2014-10,104,
2014-11,104,
