"",BBK01.OEHK04V,BBK01.OEHK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:48,
2002-01,0.133,
2002-04,0.131,
2002-07,0.125,
2002-10,0.127,
2003-01,0.129,
2003-04,0.119,
2003-07,0.121,
2003-10,0.122,
2004-01,0.106,
2004-04,0.100,
2004-07,0.088,
2004-10,0.091,
2005-01,0.105,
2005-04,0.085,
2005-07,0.080,
2005-10,0.078,
2006-01,0.080,
2006-04,0.094,
2006-07,0.094,
2006-10,0.096,
2007-01,0.109,
2007-04,0.107,
2007-07,0.123,
2007-10,0.117,
2008-01,0.125,
2008-04,0.130,
2008-07,0.134,
2008-10,0.153,
2009-01,0.123,
2009-04,0.107,
2009-07,0.092,
2009-10,0.086,
2010-01,0.079,
2010-04,0.075,
2010-07,0.073,
2010-10,0.063,
2011-01,0.061,
2011-04,0.060,
2011-07,0.064,
2011-10,0.067,
2012-01,0.064,
2012-04,0.058,
2012-07,0.057,
2012-10,0.055,
2013-01,0.056,
2013-04,0.052,
2013-07,0.050,
2013-10,0.051,
2014-01,0.052,
2014-04,0.054,
2014-07,0.052,
