"",BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:02,
1991-01,-122.312,
1991-04,-879.333,
1991-07,381.907,
1991-10,216.635,
1992-01,666.630,
1992-04,849.444,
1992-07,70.056,
1992-10,1246.486,
1993-01,-274.040,
1993-04,-310.042,
1993-07,-664.928,
1993-10,610.842,
1994-01,2270.594,
1994-04,-1738.309,
1994-07,779.684,
1994-10,1581.834,
1995-01,-1430.805,
1995-04,144.774,
1995-07,-642.844,
1995-10,-557.500,
1996-01,866.515,
1996-04,-143.542,
1996-07,-449.838,
1996-10,-493.991,
1997-01,1388.674,
1997-04,-145.410,
1997-07,62.618,
1997-10,682.558,
1998-01,-1924.065,
1998-04,468.161,
1998-07,-217.024,
1998-10,3820.497,
1999-01,-231.640,
1999-04,651.802,
1999-07,720.096,
1999-10,6450.517,
2000-01,-5178.565,
2000-04,2153.935,
2000-07,-1735.476,
2000-10,1209.757,
2001-01,1170.167,
2001-04,878.663,
2001-07,1104.032,
2001-10,-2226.368,
2002-01,231.200,
2002-04,-892.448,
2002-07,-448.082,
2002-10,-421.976,
2003-01,2271.315,
2003-04,-3772.403,
2003-07,-2631.312,
2003-10,5156.700,
2004-01,-1077.588,
2004-04,536.396,
2004-07,-1942.513,
2004-10,2547.095,
2005-01,-2044.995,
2005-04,1584.180,
2005-07,-1568.943,
2005-10,-521.333,
2006-01,1723.447,
2006-04,834.409,
2006-07,3807.683,
2006-10,-3095.606,
2007-01,4486.299,
2007-04,211.262,
2007-07,1430.989,
2007-10,278.059,
2008-01,-5414.002,
2008-04,-1266.826,
2008-07,2344.443,
2008-10,-3996.811,
2009-01,4156.175,
2009-04,-8731.368,
2009-07,1962.259,
2009-10,-3255.516,
2010-01,5354.887,
2010-04,831.207,
2010-07,-3396.451,
2010-10,2284.266,
2011-01,-97.815,
2011-04,3630.283,
2011-07,-5970.814,
2011-10,299.720,
2012-01,2527.063,
2012-04,-3605.925,
2012-07,843.140,
2012-10,-3034.915,
2013-01,7685.906,
2013-04,771.251,
2013-07,1253.196,
2013-10,-9016.682,
2014-01,5836.118,Provisional value
2014-04,-775.607,Provisional value
2014-07,8133.128,Provisional value
2014-10,-7603.001,Provisional value
