"",BBK01.OECB05O,BBK01.OECB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:00,
2002-01,5.677,
2002-04,5.644,
2002-07,5.458,
2002-10,5.392,
2003-01,5.196,
2003-04,4.955,
2003-07,4.776,
2003-10,4.818,
2004-01,4.739,
2004-04,4.622,
2004-07,4.575,
2004-10,4.625,
2005-01,5.758,
2005-04,5.719,
2005-07,5.610,
2005-10,5.665,
2006-01,5.499,
2006-04,5.623,
2006-07,5.720,
2006-10,5.609,
2007-01,5.689,
2007-04,5.862,
2007-07,5.623,
2007-10,5.614,
2008-01,5.653,
2008-04,5.605,
2008-07,5.747,
2008-10,5.706,
2009-01,5.814,
2009-04,6.517,
2009-07,6.413,
2009-10,6.201,
2010-01,6.341,
2010-04,6.429,
2010-07,6.541,
2010-10,6.319,
2011-01,6.304,
2011-04,6.556,
2011-07,6.227,
2011-10,6.076,
2012-01,6.006,
2012-04,5.866,
2012-07,5.846,
2012-10,5.720,
2013-01,5.913,
2013-04,5.870,
2013-07,5.862,
2013-10,5.794,
2014-01,5.930,
2014-04,6.126,
2014-07,5.970,
