"",BBSF2.M.1.S.I0015.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:24,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,163,
1993-05,162,
1993-06,163,
1993-07,164,
1993-08,164,
1993-09,165,
1993-10,164,
1993-11,165,
1993-12,165,
1994-01,171,
1994-02,171,
1994-03,172,
1994-04,172,
1994-05,172,
1994-06,173,
1994-07,173,
1994-08,173,
1994-09,173,
1994-10,175,
1994-11,175,
1994-12,178,
1995-01,178,
1995-02,180,
1995-03,179,
1995-04,180,
1995-05,180,
1995-06,180,
1995-07,181,
1995-08,182,
1995-09,183,
1995-10,183,
1995-11,184,
1995-12,183,
1996-01,182,
1996-02,183,
1996-03,183,
1996-04,184,
1996-05,184,
1996-06,186,
1996-07,188,
1996-08,194,
1996-09,197,
1996-10,199,
1996-11,200,
1996-12,201,
1997-01,204,
1997-02,205,
1997-03,206,
1997-04,205,
1997-05,205,
1997-06,205,
1997-07,207,
1997-08,210,
1997-09,211,
1997-10,212,
1997-11,205,
1997-12,205,
1998-01,211,
1998-02,214,
1998-03,219,
1998-04,222,
1998-05,224,
1998-06,228,
1998-07,234,
1998-08,241,
1998-09,242,
1998-10,246,
1998-11,246,
1998-12,251,
1999-01,254,
1999-02,257,
1999-03,260,
1999-04,266,
1999-05,271,
1999-06,272,
1999-07,279,
1999-08,285,
1999-09,288,
1999-10,292,
1999-11,293,
1999-12,296,
2000-01,303,
2000-02,311,
2000-03,312,
2000-04,317,
2000-05,319,
2000-06,326,
2000-07,331,
2000-08,335,
2000-09,340,
2000-10,345,
2000-11,345,
2000-12,344,
2001-01,349,
2001-02,354,
2001-03,359,
2001-04,359,
2001-05,366,
2001-06,366,
2001-07,371,
2001-08,371,
2001-09,371,
2001-10,371,
2001-11,374,
2001-12,373,
2002-01,375,
2002-02,374,
2002-03,376,
2002-04,384,
2002-05,383,
2002-06,380,
2002-07,380,
2002-08,379,
2002-09,380,
2002-10,375,
2002-11,373,
2002-12,373,
2003-01,376,
2003-02,377,
2003-03,384,
2003-04,384,
2003-05,382,
2003-06,378,
2003-07,376,
2003-08,378,
2003-09,380,
2003-10,381,
2003-11,375,
2003-12,373,
2004-01,374,
2004-02,371,
2004-03,365,
2004-04,366,
2004-05,366,
2004-06,364,
2004-07,362,
2004-08,362,
2004-09,360,
2004-10,356,
2004-11,351,
2004-12,342,
2005-01,342,
2005-02,340,
2005-03,339,
2005-04,335,
2005-05,329,
2005-06,324,
2005-07,322,
2005-08,320,
2005-09,313,
2005-10,307,
2005-11,305,
2005-12,303,
2006-01,294,
2006-02,295,
2006-03,295,
2006-04,291,
2006-05,290,
2006-06,288,
2006-07,286,
2006-08,287,
2006-09,285,
2006-10,284,
2006-11,278,
2006-12,278,
2007-01,274,
2007-02,273,
2007-03,273,
2007-04,273,
2007-05,272,
2007-06,273,
2007-07,272,
2007-08,271,
2007-09,266,
2007-10,263,
2007-11,259,
2007-12,256,
2008-01,254,
2008-02,255,
2008-03,256,
2008-04,254,
2008-05,252,
2008-06,252,
2008-07,252,
2008-08,252,
2008-09,251,
2008-10,248,
2008-11,244,
2008-12,239,
2009-01,237,
2009-02,239,
2009-03,238,
2009-04,215,
2009-05,209,
2009-06,205,
2009-07,204,
2009-08,202,
2009-09,237,
2009-10,240,
2009-11,239,
2009-12,231,
2010-01,230,
2010-02,230,
2010-03,227,
2010-04,229,
2010-05,230,
2010-06,228,
2010-07,223,
2010-08,221,
2010-09,221,
2010-10,219,
2010-11,220,
2010-12,220,
2011-01,223,
2011-02,227,
2011-03,228,
2011-04,229,
2011-05,229,
2011-06,229,
2011-07,228,
2011-08,224,
2011-09,225,
2011-10,229,
2011-11,232,
2011-12,229,
2012-01,231,
2012-02,232,
2012-03,226,
2012-04,225,
2012-05,224,
2012-06,226,
2012-07,225,
2012-08,223,
2012-09,223,
2012-10,225,
2012-11,223,
2012-12,220,
2013-01,221,
2013-02,221,
2013-03,220,
2013-04,219,
2013-05,219,
2013-06,221,
2013-07,232,
2013-08,229,
2013-09,246,
2013-10,246,
2013-11,245,
2013-12,247,
2014-01,245,
2014-02,245,
2014-03,245,
2014-04,246,
2014-05,246,
2014-06,246,
2014-07,244,
2014-08,254,
2014-09,256,
2014-10,255,
2014-11,253,
