"",BBSF2.M.1.S.I1252.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:02,
2009-09,1383,
2009-10,-1178,
2009-11,938,
2009-12,1950,
2010-01,3670,
2010-02,1644,
2010-03,788,
2010-04,1765,
2010-05,779,
2010-06,1215,
2010-07,399,
2010-08,720,
2010-09,1849,
2010-10,2362,
2010-11,1286,
2010-12,865,
2011-01,2371,
2011-02,1653,
2011-03,59,
2011-04,1405,
2011-05,-264,
2011-06,519,
2011-07,145,
2011-08,782,
2011-09,-1059,
2011-10,810,
2011-11,411,
2011-12,2252,
2012-01,2976,
2012-02,3061,
2012-03,1715,
2012-04,476,
2012-05,322,
2012-06,2015,
2012-07,1110,
2012-08,1582,
2012-09,735,
2012-10,1604,
2012-11,1551,
2012-12,1581,
2013-01,3023,
2013-02,2246,
2013-03,2060,
2013-04,781,
2013-05,677,
2013-06,902,
2013-07,983,
2013-08,145,
2013-09,591,
2013-10,-152,
2013-11,4184,
2013-12,-949,
2014-01,1825,
2014-02,1736,
2014-03,318,
2014-04,688,
2014-05,1494,
2014-06,661,
2014-07,2926,
2014-08,696,
2014-09,1417,
2014-10,1059,
2014-11,2842,
