"",BBSF2.M.1.T.00000.DGE01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DGE01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:48,
2009-09,10,
2009-10,8,
2009-11,9,
2009-12,8,
2010-01,4,
2010-02,3,
2010-03,4,
2010-04,4,
2010-05,8,
2010-06,11,
2010-07,10,
2010-08,10,
2010-09,7,
2010-10,8,
2010-11,7,
2010-12,8,
2011-01,8,
2011-02,8,
2011-03,9,
2011-04,9,
2011-05,10,
2011-06,11,
2011-07,11,
2011-08,17,
2011-09,16,
2011-10,16,
2011-11,13,
2011-12,12,
2012-01,15,
2012-02,20,
2012-03,21,
2012-04,45,
2012-05,47,
2012-06,50,
2012-07,60,
2012-08,61,
2012-09,65,
2012-10,64,
2012-11,64,
2012-12,63,
2013-01,62,
2013-02,61,
2013-03,62,
2013-04,61,
2013-05,59,
2013-06,61,
2013-07,63,
2013-08,63,
2013-09,64,
2013-10,74,
2013-11,73,
2013-12,74,
2014-01,72,
2014-02,70,
2014-03,77,
2014-04,78,
2014-05,70,
2014-06,68,
2014-07,68,
2014-08,53,
2014-09,50,
2014-10,177,
2014-11,207,
