"",BBK01.OEAA50O,BBK01.OEAA50O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:44,
2002-01,0.344,
2002-04,0.920,
2002-07,0.805,
2002-10,0.818,
2003-01,0.358,
2003-04,-0.231,
2003-07,0.537,
2003-10,0.536,
2004-01,0.609,
2004-04,0.024,
2004-07,0.587,
2004-10,0.449,
2005-01,0.713,
2005-04,0.727,
2005-07,0.735,
2005-10,0.815,
2006-01,0.943,
2006-04,1.029,
2006-07,0.994,
2006-10,0.936,
2007-01,0.797,
2007-04,0.970,
2007-07,1.153,
2007-10,1.241,
2008-01,1.603,
2008-04,1.308,
2008-07,1.145,
2008-10,1.321,
2009-01,1.054,
2009-04,1.056,
2009-07,0.949,
2009-10,0.867,
2010-01,0.908,
2010-04,0.978,
2010-07,1.009,
2010-10,0.954,
2011-01,0.895,
2011-04,0.901,
2011-07,0.957,
2011-10,0.906,
2012-01,0.928,
2012-04,0.750,
2012-07,0.805,
2012-10,0.836,
2013-01,0.748,
2013-04,0.818,
2013-07,1.010,
2013-10,0.992,
2014-01,0.911,
2014-04,1.004,
2014-07,0.999,
