"",BBK01.OEAL02I,BBK01.OEAL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:00,
2002-01,11.318,
2002-04,12.376,
2002-07,12.200,
2002-10,12.393,
2003-01,12.424,
2003-04,12.723,
2003-07,12.441,
2003-10,12.829,
2004-01,13.443,
2004-04,13.723,
2004-07,13.573,
2004-10,13.769,
2005-01,15.766,
2005-04,16.113,
2005-07,16.147,
2005-10,16.725,
2006-01,16.978,
2006-04,17.569,
2006-07,17.343,
2006-10,17.329,
2007-01,17.391,
2007-04,18.154,
2007-07,18.068,
2007-10,18.511,
2008-01,19.234,
2008-04,19.230,
2008-07,18.819,
2008-10,25.074,
2009-01,28.457,
2009-04,29.673,
2009-07,30.976,
2009-10,34.000,
2010-01,38.300,
2010-04,38.882,
2010-07,39.406,
2010-10,40.971,
2011-01,42.656,
2011-04,43.363,
2011-07,44.372,
2011-10,46.948,
2012-01,50.924,
2012-04,53.977,
2012-07,54.487,
2012-10,55.690,
2013-01,56.291,
2013-04,57.163,
2013-07,57.729,
2013-10,58.366,
2014-01,59.602,
2014-04,60.397,
2014-07,60.056,
