"",BBFN1.M.DE.N.1.L.MY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:12,
1995-01,0.004,
1995-02,0.002,
1995-03,0.006,
1995-04,0.018,
1995-05,0.007,
1995-06,0.007,
1995-07,0.008,
1995-08,0.010,
1995-09,0.011,
1995-10,0.006,
1995-11,0.017,
1995-12,0.016,
1996-01,0.039,
1996-02,0.048,
1996-03,0.048,
1996-04,0.028,
1996-05,0.015,
1996-06,0.014,
1996-07,0.015,
1996-08,0.018,
1996-09,0.019,
1996-10,0.057,
1996-11,0.017,
1996-12,0.026,
1997-01,0.026,
1997-02,0.037,
1997-03,0.038,
1997-04,0.034,
1997-05,0.026,
1997-06,0.040,
1997-07,0.025,
1997-08,0.021,
1997-09,0.022,
1997-10,0.041,
1997-11,0.053,
1997-12,0.029,
1998-01,0.024,
1998-02,0.038,
1998-03,0.034,
1998-04,0.035,
1998-05,0.039,
1998-06,0.047,
1998-07,0.055,
1998-08,0.050,
1998-09,0.040,
1998-10,0.050,
1998-11,0.046,
1998-12,0.105,
1999-01,0.105,
1999-02,0.104,
1999-03,0.058,
1999-04,0.146,
1999-05,0.190,
1999-06,0.250,
1999-07,0.132,
1999-08,0.168,
1999-09,0.042,
1999-10,0.025,
1999-11,0.031,
1999-12,0.024,
2000-01,0.024,
2000-02,0.034,
2000-03,0.029,
2000-04,0.031,
2000-05,0.031,
2000-06,0.030,
2000-07,0.041,
2000-08,0.039,
2000-09,0.041,
2000-10,0.040,
2000-11,0.053,
2000-12,0.056,
2001-01,0.045,
2001-02,0.048,
2001-03,0.061,
2001-04,0.059,
2001-05,0.054,
2001-06,0.070,
2001-07,0.075,
2001-08,0.078,
2001-09,0.065,
2001-10,0.056,
2001-11,0.047,
2001-12,0.047,
2002-01,0.056,
2002-02,0.050,
2002-03,0.044,
2002-04,0.053,
2002-05,0.052,
2002-06,0.054,
2002-07,0.048,
2002-08,0.048,
2002-09,0.056,
2002-10,0.049,
2002-11,0.047,
2002-12,0.048,
2003-01,0.057,
2003-02,0.065,
2003-03,0.064,
2003-04,0.055,
2003-05,0.055,
2003-06,0.062,
2003-07,0.050,
2003-08,0.058,
2003-09,0.051,
2003-10,0.050,
2003-11,0.037,
2003-12,0.037,
2004-01,0.065,
2004-02,0.049,
2004-03,0.071,
2004-04,0.072,
2004-05,0.057,
2004-06,0.081,
2004-07,0.071,
2004-08,0.070,
2004-09,0.086,
2004-10,0.080,
2004-11,0.075,
2004-12,0.078,
2005-01,0.038,
2005-02,0.038,
2005-03,0.046,
2005-04,0.041,
2005-05,0.066,
2005-06,0.068,
2005-07,0.077,
2005-08,0.073,
2005-09,0.075,
2005-10,0.079,
2005-11,0.084,
2005-12,0.085,
2006-01,0.084,
2006-02,0.083,
2006-03,0.070,
2006-04,0.069,
2006-05,0.074,
2006-06,0.091,
2006-07,0.095,
2006-08,0.101,
2006-09,0.182,
2006-10,0.169,
2006-11,0.143,
2006-12,0.137,
2007-01,0.156,
2007-02,0.134,
2007-03,0.130,
2007-04,0.126,
2007-05,0.129,
2007-06,0.121,
2007-07,0.135,
2007-08,0.135,
2007-09,0.173,
2007-10,0.178,
2007-11,0.155,
2007-12,0.153,
2008-01,0.170,
2008-02,0.173,
2008-03,0.154,
2008-04,0.153,
2008-05,0.163,
2008-06,0.162,
2008-07,0.160,
2008-08,0.161,
2008-09,0.164,
2008-10,0.170,
2008-11,0.189,
2008-12,0.186,
2009-01,0.180,
2009-02,0.194,
2009-03,0.201,
2009-04,0.212,
2009-05,0.200,
2009-06,0.195,
2009-07,0.215,
2009-08,0.213,
2009-09,0.240,
2009-10,0.262,
2009-11,0.274,
2009-12,0.268,
2010-01,0.298,
2010-02,0.300,
2010-03,0.298,
2010-04,0.369,
2010-05,0.363,
2010-06,0.355,
2010-07,0.390,
2010-08,0.407,
2010-09,0.399,
2010-10,0.410,
2010-11,0.562,
2010-12,0.542,
2011-01,0.546,
2011-02,0.541,
2011-03,0.544,
2011-04,0.545,
2011-05,0.529,
2011-06,0.541,
2011-07,0.533,
2011-08,0.529,
2011-09,0.545,
2011-10,0.539,
2011-11,0.533,
2011-12,0.582,
2012-01,0.584,
2012-02,0.572,
2012-03,0.553,
2012-04,0.605,
2012-05,0.601,
2012-06,0.624,
2012-07,0.651,
2012-08,0.653,
2012-09,0.648,
2012-10,0.633,
2012-11,0.619,
2012-12,0.633,
2013-01,0.655,
2013-02,0.683,
2013-03,0.744,
2013-04,0.750,
2013-05,0.762,
2013-06,0.680,
2013-07,0.671,
2013-08,0.710,
2013-09,0.740,
2013-10,0.717,
2013-11,0.740,
2013-12,0.645,
2014-01,0.557,
2014-02,0.566,
2014-03,0.566,
2014-04,0.487,
2014-05,0.495,
2014-06,0.490,
2014-07,0.457,
2014-08,0.447,
2014-09,0.437,
2014-10,0.457,
2014-11,0.449,
2014-12,0.392,
