"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1989-08,45.669,
1989-09,45.787,
1989-10,52.959,
1989-11,54.268,
1989-12,50.231,
1990-01,56.459,
1990-02,57.015,
1990-03,58.882,
1990-04,59.868,
1990-05,59.962,
1990-06,58.113,
1990-07,59.557,
1990-08,60.137,
1990-09,60.665,
1990-10,63.239,
1990-11,63.025,
1990-12,61.340,
1991-01,66.168,
1991-02,67.543,
1991-03,71.295,
1991-04,74.238,
1991-05,73.644,
1991-06,71.822,
1991-07,72.427,
1991-08,68.969,
1991-09,66.975,
1991-10,71.844,
1991-11,71.037,
1991-12,64.178,
1992-01,68.615,
1992-02,69.856,
1992-03,70.589,
1992-04,72.173,
1992-05,71.733,
1992-06,71.335,
1992-07,70.130,
1992-08,68.589,
1992-09,66.706,
1992-10,73.363,
1992-11,73.041,
1992-12,67.750,
1993-01,75.286,
1993-02,78.267,
1993-03,79.884,
1993-04,83.777,
1993-05,82.505,
1993-06,81.269,
1993-07,86.227,
1993-08,82.631,
1993-09,84.946,
1993-10,95.924,
1993-11,96.705,
1993-12,91.484,
1994-01,100.439,
1994-02,95.137,
1994-03,100.082,
1994-04,99.850,
1994-05,99.708,
1994-06,97.089,
1994-07,100.992,
1994-08,101.652,
1994-09,102.837,
1994-10,108.795,
1994-11,110.499,
1994-12,105.222,
1995-01,112.179,
1995-02,111.188,
1995-03,111.483,
1995-04,114.143,
1995-05,115.604,
1995-06,114.119,
1995-07,114.965,
1995-08,110.554,
1995-09,110.939,
1995-10,113.322,
1995-11,111.195,
1995-12,100.109,
1996-01,107.457,
1996-02,109.486,
1996-03,115.185,
1996-04,120.389,
1996-05,124.985,
1996-06,118.641,
1996-07,113.700,
1996-08,111.560,
1996-09,113.127,
1996-10,115.890,
1996-11,118.475,
1996-12,116.066,
1997-01,131.738,
1997-02,138.809,
1997-03,140.578,
1997-04,144.246,
1997-05,141.659,
1997-06,135.740,
1997-07,136.313,
1997-08,126.803,
1997-09,127.522,
1997-10,127.305,
1997-11,123.137,
1997-12,114.923,
1998-01,128.995,
1998-02,136.672,
1998-03,149.152,
1998-04,155.578,
1998-05,159.802,
1998-06,145.994,
1998-07,142.986,
1998-08,136.564,
1998-09,146.291,
1998-10,144.427,
1998-11,142.831,
1998-12,128.506,
1999-01,124.154,
1999-02,132.595,
1999-03,140.666,
1999-04,150.207,
1999-05,157.391,
1999-06,157.310,
1999-07,146.926,
1999-08,144.961,
1999-09,143.422,
1999-10,138.484,
1999-11,142.407,
1999-12,131.722,
2000-01,139.370,
2000-02,148.542,
2000-03,168.886,
2000-04,170.776,
2000-05,176.895,
2000-06,172.638,
2000-07,162.577,
2000-08,174.251,
2000-09,160.931,
2000-10,163.048,
2000-11,157.271,
2000-12,147.131,
2001-01,167.866,
2001-02,183.678,
2001-03,203.764,
2001-04,202.879,
2001-05,202.855,
2001-06,198.520,
2001-07,191.334,
2001-08,182.947,
2001-09,179.179,
2001-10,181.298,
2001-11,173.613,
2001-12,177.140,
2002-01,185.158,
2002-02,183.231,
2002-03,180.798,
2002-04,187.039,
2002-05,182.321,
2002-06,168.984,
2002-07,167.046,
2002-08,168.089,
2002-09,174.667,
2002-10,176.035,
2002-11,166.062,
2002-12,154.253,
2003-01,171.269,
2003-02,178.125,
2003-03,185.771,
2003-04,197.125,
2003-05,199.106,
2003-06,192.351,
2003-07,198.293,
2003-08,188.949,
2003-09,194.493,
2003-10,193.123,
2003-11,190.996,
2003-12,183.825,
2004-01,204.158,
2004-02,201.057,
2004-03,204.802,
2004-04,200.434,
2004-05,197.478,
2004-06,200.865,
2004-07,203.119,
2004-08,203.636,
2004-09,207.276,
2004-10,204.547,
2004-11,196.939,
2004-12,192.126,
2005-01,195.476,
2005-02,198.952,
2005-03,208.286,
2005-04,202.956,
2005-05,205.018,
2005-06,199.687,
2005-07,202.260,
2005-08,202.474,
2005-09,214.599,
2005-10,217.510,
2005-11,213.595,
2005-12,203.227,
2006-01,207.451,
2006-02,218.643,
2006-03,221.516,
2006-04,225.794,
2006-05,222.366,
2006-06,217.042,
2006-07,213.746,
2006-08,218.204,
2006-09,220.882,
2006-10,223.174,
2006-11,219.897,
2006-12,206.609,
2007-01,213.580,
2007-02,220.254,
2007-03,225.430,
2007-04,223.054,
2007-05,218.240,
2007-06,218.812,
2007-07,224.579,
2007-08,217.765,
2007-09,215.423,
2007-10,227.509,
2007-11,219.753,
2007-12,210.816,
2008-01,221.202,
2008-02,217.303,
2008-03,226.377,
2008-04,228.140,
2008-05,222.023,
2008-06,220.338,
2008-07,225.720,
2008-08,222.339,
2008-09,228.811,
2008-10,225.586,
2008-11,224.351,
2008-12,225.611,
2009-01,229.717,
2009-02,226.749,
2009-03,249.384,
2009-04,246.562,
2009-05,241.338,
2009-06,248.186,
2009-07,239.004,
2009-08,236.309,
2009-09,237.700,
2009-10,240.839,
2009-11,236.139,
2009-12,242.846,
2010-01,236.729,
2010-02,238.649,
2010-03,249.235,
2010-04,252.550,
2010-05,255.215,
2010-06,259.570,
2010-07,267.966,
2010-08,270.202,
2010-09,270.675,
2010-10,274.276,
2010-11,274.855,
2010-12,258.687,
2011-01,274.894,
2011-02,272.226,
2011-03,275.352,
2011-04,273.011,
2011-05,285.734,
2011-06,282.821,
2011-07,292.810,
2011-08,311.864,
2011-09,319.998,
2011-10,323.680,
2011-11,316.918,
2011-12,289.347,
2012-01,312.811,
2012-02,309.671,
2012-03,318.858,
2012-04,309.728,
2012-05,320.948,
2012-06,339.615,
2012-07,333.265,
2012-08,319.288,
2012-09,332.326,
2012-10,320.728,
2012-11,324.999,
2012-12,308.228,
2013-01,328.346,
2013-02,330.389,
2013-03,338.209,
2013-04,338.656,
2013-05,336.404,
2013-06,348.435,
2013-07,328.941,
2013-08,317.630,
2013-09,323.234,
2013-10,320.821,
2013-11,317.274,
2013-12,309.896,
2014-01,315.556,
2014-02,318.069,
2014-03,338.994,
2014-04,335.861,
2014-05,350.801,
2014-06,340.257,
2014-07,332.690,
2014-08,343.133,
2014-09,348.188,
2014-10,336.958,
2014-11,335.996,
2014-12,313.826,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
