"",BBSF2.M.1.S.00000.AKT01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:27,
2009-09,0,
2009-10,0,
2009-11,0,
2009-12,60,
2010-01,11,
2010-02,1,
2010-03,8,
2010-04,0,
2010-05,4,
2010-06,20,
2010-07,9,
2010-08,3,
2010-09,65,
2010-10,1,
2010-11,20,
2010-12,44,
2011-01,1,
2011-02,8,
2011-03,1,
2011-04,4,
2011-05,15,
2011-06,13,
2011-07,7,
2011-08,3,
2011-09,5,
2011-10,2,
2011-11,2,
2011-12,15,
2012-01,6,
2012-02,2,
2012-03,7,
2012-04,80,
2012-05,6,
2012-06,11,
2012-07,5,
2012-08,1,
2012-09,2,
2012-10,1,
2012-11,4,
2012-12,5,
2013-01,66,
2013-02,13,
2013-03,1,
2013-04,1,
2013-05,229,
2013-06,5,
2013-07,3,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,6,
2014-01,2,
2014-02,1,
2014-03,347,
2014-04,2,
2014-05,2,
2014-06,9,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,1,
2014-11,2,
