"",BBK01.OEAN06U,BBK01.OEAN06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:21,
2002-01,1.537,
2002-04,1.500,
2002-07,1.552,
2002-10,1.553,
2003-01,1.460,
2003-04,1.426,
2003-07,1.365,
2003-10,1.309,
2004-01,1.300,
2004-04,1.274,
2004-07,1.275,
2004-10,1.348,
2005-01,1.351,
2005-04,1.314,
2005-07,1.254,
2005-10,1.386,
2006-01,1.483,
2006-04,1.493,
2006-07,1.575,
2006-10,1.627,
2007-01,1.767,
2007-04,1.827,
2007-07,1.983,
2007-10,2.083,
2008-01,2.001,
2008-04,2.062,
2008-07,2.050,
2008-10,2.341,
2009-01,2.265,
2009-04,2.168,
2009-07,1.951,
2009-10,2.050,
2010-01,1.901,
2010-04,1.810,
2010-07,1.629,
2010-10,1.541,
2011-01,1.448,
2011-04,1.452,
2011-07,1.398,
2011-10,1.338,
2012-01,1.294,
2012-04,1.269,
2012-07,1.229,
2012-10,1.143,
2013-01,0.987,
2013-04,0.884,
2013-07,0.840,
2013-10,0.811,
2014-01,0.797,
2014-04,0.790,
2014-07,0.822,
