"",BBK01.OEAC33L,BBK01.OEAC33L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:08,
2002-01,0.129,
2002-04,0.187,
2002-07,0.186,
2002-10,0.218,
2003-01,0.273,
2003-04,0.444,
2003-07,0.298,
2003-10,0.278,
2004-01,0.225,
2004-04,0.291,
2004-07,0.240,
2004-10,0.188,
2005-01,0.163,
2005-04,0.285,
2005-07,0.288,
2005-10,0.308,
2006-01,0.326,
2006-04,0.345,
2006-07,0.335,
2006-10,0.316,
2007-01,0.302,
2007-04,0.275,
2007-07,0.292,
2007-10,0.309,
2008-01,0.319,
2008-04,0.289,
2008-07,0.262,
2008-10,0.404,
2009-01,0.502,
2009-04,0.579,
2009-07,0.635,
2009-10,0.678,
2010-01,0.857,
2010-04,0.930,
2010-07,0.831,
2010-10,0.902,
2011-01,0.999,
2011-04,0.966,
2011-07,1.016,
2011-10,1.150,
2012-01,1.075,
2012-04,1.199,
2012-07,1.307,
2012-10,1.393,
2013-01,1.365,
2013-04,1.365,
2013-07,1.598,
2013-10,1.336,
2014-01,1.320,
2014-04,1.202,
2014-07,1.200,
