"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:50,
1991-01,0.420,
1991-04,-2.985,
1991-07,-2.485,
1991-10,49.741,
1992-01,68.168,
1992-04,-3.582,
1992-07,0.502,
1992-10,-4.023,
1993-01,-6.737,
1993-04,31.276,
1993-07,-9.943,
1993-10,17.350,
1994-01,39.489,
1994-04,-116.629,
1994-07,-93.287,
1994-10,-85.960,
1995-01,-56.052,
1995-04,21.860,
1995-07,30.034,
1995-10,3.495,
1996-01,-60.633,
1996-04,-107.243,
1996-07,122.628,
1996-10,194.288,
1997-01,-27.070,
1997-04,141.564,
1997-07,-192.667,
1997-10,-337.229,
1998-01,238.629,
1998-04,-0.923,
1998-07,77.615,
1998-10,6.932,
1999-01,64.368,
1999-04,-11.011,
1999-07,-155.060,
1999-10,103.962,
2000-01,116.948,
2000-04,-47.519,
2000-07,29.491,
2000-10,-119.275,
2001-01,-42.714,
2001-04,-47.259,
2001-07,-312.196,
2001-10,223.626,
2002-01,-138.297,
2002-04,-123.907,
2002-07,-137.664,
2002-10,-137.487,
2003-01,148.996,
2003-04,-248.803,
2003-07,-63.261,
2003-10,-158.957,
2004-01,-27.765,
2004-04,-133.858,
2004-07,-17.986,
2004-10,-9.349,
2005-01,-180.395,
2005-04,5521.057,
2005-07,-6173.406,
2005-10,25.079,
2006-01,-166.784,
2006-04,-205.053,
2006-07,-617.602,
2006-10,-156.893,
2007-01,101.001,
2007-04,-2132.347,
2007-07,-333.310,
2007-10,802.619,
2008-01,-1457.641,
2008-04,1717.930,
2008-07,1608.893,
2008-10,289.733,
2009-01,277.798,
2009-04,268.854,
2009-07,-563.884,
2009-10,-1865.986,
2010-01,-93.974,
2010-04,1207.053,
2010-07,935.046,
2010-10,813.937,
2011-01,-31.906,
2011-04,-405.637,
2011-07,-738.686,
2011-10,-283.450,
2012-01,-91.426,
2012-04,-121.138,
2012-07,-281.245,
2012-10,-404.445,
2013-01,-490.104,
2013-04,-436.823,
2013-07,-180.221,
2013-10,-1410.977,
2014-01,-667.976,Provisional value
2014-04,-854.542,Provisional value
2014-07,-366.875,Provisional value
2014-10,-812.845,Provisional value
