"",BBK01.CEH0X0,BBK01.CEH0X0_FLAGS
"",External financing debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:11,
1991-01,10.4,
1991-04,4.5,
1991-07,0.3,
1991-10,4.7,
1992-01,11.6,
1992-04,1.6,
1992-07,-0.8,
1992-10,-1.0,
1993-01,14.8,
1993-04,2.0,
1993-07,6.3,
1993-10,14.5,
1994-01,20.4,
1994-04,10.4,
1994-07,7.4,
1994-10,3.6,
1995-01,10.9,
1995-04,1.7,
1995-07,5.9,
1995-10,7.7,
1996-01,27.0,
1996-04,11.2,
1996-07,7.0,
1996-10,16.2,
1997-01,39.0,
1997-04,18.6,
1997-07,6.4,
1997-10,15.0,
1998-01,47.0,
1998-04,24.5,
1998-07,9.9,
1998-10,18.6,
1999-01,12.2,
1999-04,46.7,
1999-07,-1.3,
1999-10,35.9,
2000-01,53.0,
2000-04,37.5,
2000-07,-0.9,
2000-10,20.2,
2001-01,67.8,
2001-04,1.9,
2001-07,-7.2,
2001-10,22.0,
2002-01,20.4,
2002-04,4.2,
2002-07,22.9,
2002-10,-2.0,
2003-01,37.4,
2003-04,27.5,
2003-07,10.2,
2003-10,-13.0,
2004-01,28.3,
2004-04,-3.9,
2004-07,-4.3,
2004-10,-11.9,
2005-01,45.2,
2005-04,3.9,
2005-07,37.9,
2005-10,-9.0,
2006-01,70.8,
2006-04,37.3,
2006-07,26.9,
2006-10,-26.6,
2007-01,59.2,
2007-04,23.9,
2007-07,-29.1,
2007-10,8.9,
2008-01,70.0,
2008-04,15.4,
2008-07,33.7,
2008-10,6.9,
2009-01,75.4,
2009-04,11.5,
2009-07,4.8,
2009-10,45.3,
2010-01,15.3,
2010-04,103.0,
2010-07,18.2,
2010-10,3.8,
2011-01,19.9,
2011-04,48.6,
2011-07,63.6,
2011-10,-69.0,
2012-01,37.9,
2012-04,50.7,
2012-07,22.2,
2012-10,-29.7,
2013-01,74.4,
2013-04,75.9,
2013-07,-46.2,
2013-10,11.4,
2014-01,67.6,
