"",BBK01.OEAC20I,BBK01.OEAC20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:46,
2002-01,1.239,
2002-04,1.236,
2002-07,1.152,
2002-10,0.908,
2003-01,0.860,
2003-04,0.841,
2003-07,0.756,
2003-10,0.803,
2004-01,0.728,
2004-04,0.749,
2004-07,0.756,
2004-10,0.722,
2005-01,0.750,
2005-04,0.688,
2005-07,0.685,
2005-10,0.694,
2006-01,0.829,
2006-04,0.827,
2006-07,0.946,
2006-10,0.714,
2007-01,0.675,
2007-04,0.622,
2007-07,0.712,
2007-10,0.786,
2008-01,0.759,
2008-04,0.742,
2008-07,0.772,
2008-10,0.615,
2009-01,0.715,
2009-04,0.683,
2009-07,0.489,
2009-10,0.602,
2010-01,0.605,
2010-04,0.482,
2010-07,0.607,
2010-10,0.679,
2011-01,0.453,
2011-04,0.648,
2011-07,0.593,
2011-10,0.617,
2012-01,0.629,
2012-04,0.537,
2012-07,0.722,
2012-10,0.758,
2013-01,0.764,
2013-04,0.674,
2013-07,0.690,
2013-10,0.669,
2014-01,0.666,
2014-04,0.569,
2014-07,0.603,
