"",BBDE1.M.DE.Y.BAA1.A2R200050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R200050.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 20+21 Manufacture of chemicals, chemical products; basic pharmaceutical products and pharmaceutical preparations / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:40,
1991-01,73.3,
1991-02,68.7,
1991-03,68.9,
1991-04,68.6,
1991-05,67.2,
1991-06,68.2,
1991-07,69.2,
1991-08,68.3,
1991-09,67.3,
1991-10,70.5,
1991-11,70.4,
1991-12,71.0,
1992-01,71.5,
1992-02,73.1,
1992-03,71.5,
1992-04,71.7,
1992-05,70.9,
1992-06,71.0,
1992-07,69.3,
1992-08,70.0,
1992-09,69.6,
1992-10,67.7,
1992-11,67.1,
1992-12,67.6,
1993-01,66.2,
1993-02,65.7,
1993-03,66.7,
1993-04,65.5,
1993-05,64.4,
1993-06,66.6,
1993-07,66.5,
1993-08,67.2,
1993-09,67.9,
1993-10,68.4,
1993-11,69.5,
1993-12,69.2,
1994-01,68.2,
1994-02,69.0,
1994-03,69.6,
1994-04,69.0,
1994-05,70.5,
1994-06,71.4,
1994-07,70.9,
1994-08,72.5,
1994-09,73.5,
1994-10,73.0,
1994-11,74.4,
1994-12,74.7,
1995-01,75.7,
1995-02,73.8,
1995-03,73.0,
1995-04,74.0,
1995-05,74.9,
1995-06,73.1,
1995-07,71.9,
1995-08,70.6,
1995-09,71.8,
1995-10,73.1,
1995-11,72.6,
1995-12,71.1,
1996-01,73.5,
1996-02,73.5,
1996-03,74.4,
1996-04,75.8,
1996-05,76.7,
1996-06,74.4,
1996-07,75.9,
1996-08,76.6,
1996-09,77.1,
1996-10,76.8,
1996-11,76.8,
1996-12,78.4,
1997-01,76.0,
1997-02,77.4,
1997-03,77.9,
1997-04,79.2,
1997-05,79.3,
1997-06,81.3,
1997-07,81.1,
1997-08,79.0,
1997-09,79.4,
1997-10,80.9,
1997-11,80.4,
1997-12,82.8,
1998-01,82.3,
1998-02,80.6,
1998-03,81.5,
1998-04,81.1,
1998-05,78.2,
1998-06,80.9,
1998-07,80.7,
1998-08,77.6,
1998-09,79.5,
1998-10,78.4,
1998-11,77.2,
1998-12,76.0,
1999-01,82.7,
