"",BBK01.OEYB09S,BBK01.OEYB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:32,
2002-01,2.231,
2002-04,2.259,
2002-07,2.263,
2002-10,2.259,
2003-01,2.227,
2003-04,2.226,
2003-07,2.222,
2003-10,2.224,
2004-01,2.208,
2004-04,2.249,
2004-07,2.258,
2004-10,0.850,
2005-01,0.810,
2005-04,0.830,
2005-07,0.821,
2005-10,0.837,
2006-01,0.829,
2006-04,0.845,
2006-07,0.854,
2006-10,0.846,
2007-01,0.832,
2007-04,0.823,
2007-07,0.831,
2007-10,0.827,
2008-01,0.825,
2008-04,0.831,
2008-07,0.805,
2008-10,0.806,
2009-01,0.803,
2009-04,0.790,
2009-07,0.788,
2009-10,0.777,
2010-01,0.767,
2010-04,0.791,
2010-07,0.839,
2010-10,0.910,
2011-01,0.909,
2011-04,0.958,
2011-07,0.998,
2011-10,1.056,
2012-01,1.106,
2012-04,1.238,
2012-07,1.302,
2012-10,1.346,
2013-01,1.378,
2013-04,1.403,
2013-07,1.423,
2013-10,1.480,
2014-01,1.470,
2014-04,1.503,
2014-07,1.544,
