"",BBK01.OEHB06H,BBK01.OEHB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:11,
2002-01,12.524,
2002-04,12.620,
2002-07,12.300,
2002-10,12.194,
2003-01,12.113,
2003-04,11.918,
2003-07,11.694,
2003-10,11.128,
2004-01,11.022,
2004-04,11.061,
2004-07,10.544,
2004-10,10.057,
2005-01,10.120,
2005-04,9.854,
2005-07,9.432,
2005-10,8.892,
2006-01,9.052,
2006-04,9.146,
2006-07,8.958,
2006-10,8.567,
2007-01,8.553,
2007-04,8.553,
2007-07,8.439,
2007-10,8.390,
2008-01,8.602,
2008-04,8.498,
2008-07,8.323,
2008-10,8.488,
2009-01,8.910,
2009-04,8.903,
2009-07,8.775,
2009-10,8.405,
2010-01,8.508,
2010-04,8.618,
2010-07,8.341,
2010-10,7.585,
2011-01,7.985,
2011-04,8.102,
2011-07,7.853,
2011-10,7.567,
2012-01,7.788,
2012-04,7.772,
2012-07,7.686,
2012-10,7.583,
2013-01,7.900,
2013-04,7.805,
2013-07,7.535,
2013-10,7.201,
2014-01,7.516,
2014-04,7.443,
2014-07,7.300,
