"",BBK01.OEAH50N,BBK01.OEAH50N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:30,
2002-01,0.903,
2002-04,0.904,
2002-07,0.892,
2002-10,0.864,
2003-01,0.861,
2003-04,0.856,
2003-07,0.844,
2003-10,0.929,
2004-01,0.860,
2004-04,0.834,
2004-07,0.817,
2004-10,0.891,
2005-01,0.887,
2005-04,0.876,
2005-07,0.889,
2005-10,0.886,
2006-01,0.886,
2006-04,0.883,
2006-07,0.908,
2006-10,0.934,
2007-01,0.934,
2007-04,0.965,
2007-07,1.020,
2007-10,1.084,
2008-01,1.088,
2008-04,1.126,
2008-07,1.169,
2008-10,1.264,
2009-01,1.284,
2009-04,1.208,
2009-07,1.068,
2009-10,0.966,
2010-01,0.963,
2010-04,1.015,
2010-07,1.025,
2010-10,1.052,
2011-01,1.112,
2011-04,1.240,
2011-07,1.301,
2011-10,1.279,
2012-01,1.314,
2012-04,1.323,
2012-07,1.312,
2012-10,1.242,
2013-01,1.145,
2013-04,1.054,
2013-07,1.014,
2013-10,0.980,
2014-01,0.928,
2014-04,0.694,
2014-07,0.651,
