"",BBK01.OEHM02J,BBK01.OEHM02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:30,
2002-01,0.014,
2002-04,0.013,
2002-07,0.011,
2002-10,0.015,
2003-01,0.022,
2003-04,0.049,
2003-07,0.026,
2003-10,0.020,
2004-01,0.023,
2004-04,0.033,
2004-07,0.050,
2004-10,0.026,
2005-01,0.020,
2005-04,0.020,
2005-07,0.019,
2005-10,0.022,
2006-01,0.022,
2006-04,0.025,
2006-07,0.024,
2006-10,0.037,
2007-01,0.029,
2007-04,0.029,
2007-07,0.027,
2007-10,0.033,
2008-01,0.020,
2008-04,0.026,
2008-07,0.027,
2008-10,0.046,
2009-01,0.037,
2009-04,0.051,
2009-07,0.033,
2009-10,0.042,
2010-01,0.027,
2010-04,0.037,
2010-07,0.023,
2010-10,0.013,
2011-01,0.035,
2011-04,0.018,
2011-07,0.011,
2011-10,0.013,
2012-01,0.037,
2012-04,0.026,
2012-07,0.044,
2012-10,0.045,
2013-01,0.057,
2013-04,0.030,
2013-07,0.025,
2013-10,0.024,
2014-01,0.021,
2014-04,0.021,
2014-07,0.024,
